objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
312458,ImaLARP,"ImaLARP est une association organisant des GN, OP d'airsoft et autres aventures immersives.",/associations/imalarp,https://cdn.helloasso.com/img/logos/croppedimage-63ac9a0a4e584275b726e7037d12f165.png,https://cdn.helloasso.com/img/photos/croppedimage-0a643f1588494ecbabc6a8d5335e2bba.png,Meaulne-Vitray,03360,Allier,Auvergne-Rhône-Alpes,Lieu dit Les Grandes Loges,46.60877,2.694463,Association1901,Airsoft | Loisirs | Sport,,13,Event,1647817200,1774899107,110,,association.imalarp@gmail.com,
642107,ASSOCIATION L'EAU PENCHÉE,"Promouvoir la photographie et le texte littéraire, sous toutes leurs formes possibles. La première d'entre elles sera une revue noir et blanc, tirée en risographie. Parution prévisionnelle du premier numéro : juillet 2026",/associations/association-l-eau-penchee,https://cdn.helloasso.com/img/logos/croppedimage-fa9644d5bc034af6b84f9d3ca1ba5abe.png,https://cdn.helloasso.com/img/photos/croppedimage-7c73a7e1beb74c2ab1e6bc3a29f7366a.png,Moulins,03000,Allier,Auvergne-Rhône-Alpes,7 avenue du Général Leclerc,46.5626,3.336945,Association1901,Arts | Culture | Littérature | Photographie | Arts et Culture,,6,"Shop, PaymentForm, Donation, Membership",1768863600,1774946653,110,,,
522882,Team Trail Electrons Libres,"La TTEL est une association qui s’inscrit dans une réelle transition des pratiques physiques et sportives de nature pour lutter contre l’effondrement de la biodiversité, la perte du vivant et participer à l’accessibilité de ces pratiques jusqu'alors réservées à des élites sociales et économiques. ",/associations/team-trail-electrons-libres,https://cdn.helloasso.com/img/logos/croppedimage-b8d0860b307e47f688fbc26170c0b0db.png,https://cdn.helloasso.com/img/photos/croppedimage-33cb27e623204aa18dbf5e7df0570777.png,Yzeure,03400,Allier,Auvergne-Rhône-Alpes,31 Rue Ampère,46.55494,3.342556,Association1901Rig,Biodiversité | Environnement | Ecologie et Environnement,,3,"Event, Donation, Membership",1722463200,1774949734,110,,teamtrailelectronslibres@gmail.com,0643302238
340029,Cultive ta Pastille,"Cette association a pour objet de promouvoir l’accès à la culture, au sport, à la sensibilisation sur l’écologie et à l’épanouissement personnel des étudiants de l’IFMK de Vichy.",/associations/cultive-ta-pastille,https://cdn.helloasso.com/img/logos/croppedimage-736e23026f3f469da4597c4440778364.png,https://cdn.helloasso.com/img/photos/croppedimage-d91d2ee2e2184cdbb96dbd205d04ed64.png,Vichy,03200,Allier,Auvergne-Rhône-Alpes,14 rue Fleury,46.121339,3.43221,Association1901,Culture | Écologie | Étudiants | Education | Réseaux pros et étudiants,,2,"Shop, Membership",1661724000,1774805949,110,,cultivetapastille@gmail.com,0695483806
656225,RÉANIMATION USIP MOULINS-YZEURE,"Notre association soutient les patients de soins intensifs, de réanimation et leurs familles. Elle agit pour améliorer l’accueil, le confort, la formation des soignants, l’innovation et la recherche, au service des patients les plus vulnérables et de leurs proches.  ",/associations/reanimation-usip-moulins-yzeure,https://cdn.helloasso.com/img/logos/croppedimage-0c762439f8504a738cc8f6e4c215476c.png,https://cdn.helloasso.com/img/photos/croppedimage-ba76fbe027824490bfd4207e811801ad.jpg,Moulins,03000,Allier,Auvergne-Rhône-Alpes,10 avenue du Général de Gaulle,46.570295,3.325265,Association1901,,,2,"Donation, Membership",1773615600,1774964623,110,,reamoulins@gmail.com,0470357868
440712,ASSOCIATION LES MALCOIFFES,"La Biennale des illustrateurs, c’est  6 expositions monographiques durant 11 jours dans des lieux patrimoniaux du quartier historique de Moulins  2 journées de formation – Les Rencontres illustrées – au théâtre municipal  Des ateliers, des performances, des lectures, des spectacles et une librairie ",/associations/association-les-malcoiffes,https://cdn.helloasso.com/img/logos/croppedimage-aeb7f2a304dd476595c091db09e84738.jpg,https://cdn.helloasso.com/img/photos/croppedimage-38b04a09f0c14231bc7b7166ba6f839b.png,Moulins,03000,Allier,Auvergne-Rhône-Alpes,15 Rue Voltaire,46.566589,3.333313,Association1901,Arts | Culture | Formation | Théâtre | Arts et Culture,,1,Membership,1697148000,1774891557,110,,lesmalcoiffes@orange.fr,0470347650
176007,Los Tangueros,"Organisation d'évènements autour du  Tango Argentin , mais également cours , formations et toutes actions en rapport avec le  tango argentin .",/associations/los-tangueros,https://cdn.helloasso.com/img/logos/los tangueros-5ce25830fc5f4b288e010f0777ca4d44.jpg,https://cdn.helloasso.com/img/photos/fileteado porteno 1-14c60f45a0fc4f22893eac6c7d58788c.jpg,Avermes,03000,Allier,Auvergne-Rhône-Alpes,17 Chemin de Chavennes,46.589056,3.30506,Association1901,Formation | Tango | Arts et Culture | Loisirs,,2,"Event, Membership",1573858800,1774957194,110,,,
354913,SPORT'IFSI (INSTITUT DE FORMATION EN SOINS INFIRMIERS),"Nous sommes le bureau des étudiants de l'école de Formation en Soins Infirmiers de Vichy rassemblant l'IFSI, l'IFAS et l'IFAP.  Cette page permet à notre association de regrouper plusieurs de nos actions comme les cotisations, la vente des goodies, les préventes pour les soirées, etc. ",/associations/sport-ifsi-institut-de-formation-en-soins-infirmiers,https://cdn.helloasso.com/img/logos/croppedimage-1c34efffe77b429aa29db9405ec4fd25.png,https://cdn.helloasso.com/img/photos/croppedimage-408bdad9df554ec4a29e679f990c0b0a.jpg,Vichy,03200,Allier,Auvergne-Rhône-Alpes,54 Boulevard de l'Hopital,46.123287,3.432688,Association1901,BDE | Formation | Étudiants | Education,,2,"Shop, Membership",1667602800,1774966265,110,,bde.ifsi.vichy@gmail.com,
632301,Ninos del Cerro,"Soutien au centre éducatif et social de Pailaviri sur le Cerro Rico à Potosí en Bolivie, amélioration des conditions de vie et d’éducation des enfants et sensibilisation aux réalités sociales et environnementales du Cerro Rico",/associations/ninos-del-cerro,https://cdn.helloasso.com/img/logos/croppedimage-22db55bbfbd044d89ad94b32a02f4ae5.png,https://cdn.helloasso.com/img/photos/croppedimage-47f7f591194245a3b61dd3b9674df3a9.png,Villebret,03310,Allier,Auvergne-Rhône-Alpes,Route de la Goutelle,46.286246,2.613861,Association1901Rig,Caritatif | Enfance | Environnement | Humanitaire | Education | Solidarité et Action Sociale,,2,"CrowdFunding, Membership",1764370800,1773411354,110,,ninosdelcerro.contact@gmail.com,
375021,Yzeure Judo,"Judo pour tous de 4 à 99 ans, seul(e) ou avec des ami(e)s, en compétition ou pas, débutant ou champion tu seras le (la) bienvenue à YZEURE JUDO.",/associations/yzeure-judo,https://cdn.helloasso.com/img/logos/croppedimage-8e87eae2855446bd83879d5f11fdfd2b.png,https://cdn.helloasso.com/img/photos/croppedimage-fece0f7e26ff4faa9fe07bb9391def94.png,Yzeure,03400,Allier,Auvergne-Rhône-Alpes,Rue Paul Corne,46.566619,3.364399,Association1901,Sport | Judo,,7,"Shop, Event, Membership",1675724400,1774893203,110,,yzeurejudo.inscriptions@laposte.net,0686493489
