objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
120296,FACE06,Fédération des Associations et Corporations Étudiantes des Alpes-Maritimes,/associations/face06,https://cdn.helloasso.com/img/logos/croppedimage-b1c36f6f65cc4aa881e7d0cd63cfa778.png,https://cdn.helloasso.com/img/photos/croppedimage-f76dd72ed5b742eeb190cb1cab8cebd7.png,Nice,06000,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,9 Rue d'Alsace-Lorraine,43.703867,7.264151,Association1901,Étudiants | Réseaux pros et étudiants | Arts et Culture,,3,"Event, Membership",1543964400,1775037210,110,,contact@face06.com,
519435,CABRIS ET CULTURE,"Organisation de conférences, visites, expositions, soirées-dîners à thème, sorties théâtre et opéra dans les domaines suivants :    -Histoire et patrimoine -Arts et architecture -Sciences et techniques  -Littérature et philosophie  L'association est ouverte aux jeunes et aux non francophones. ",/associations/cabris-et-culture,https://cdn.helloasso.com/img/logos/croppedimage-5c856d82a2604d82a8c1979d2ff3a201.png,https://cdn.helloasso.com/img/photos/croppedimage-d63ed4637687475a8b4eb3a52a767a64.png,Cabris,06530,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,33 Rue Frédéric Mistral,43.65608,6.875562,Association1901,Architecture | Arts | Culture | Littérature | Opéra | Philosophie | Sciences | Théâtre | Patrimoine,,5,"Event, Membership",1720735200,1775047247,110,,cabrisetculture06@gmail.com,
100848,ASSOCIATION POTENTIELS,"Organisation d'événements, ateliers, stages, rencontres, festivals, autour des pratiques de développement personnel et spirituel.",/associations/association-potentiels,https://cdn.helloasso.com/img/logos/croppedimage-ec4662bab14941348f132a8aa272fa77.jpg,https://cdn.helloasso.com/img/photos/croppedimage-c9a9d24de50541e082d93c30a6ad3453.png,Saint-Vallier-de-Thiey,06460,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,13 avenue Gaston Defontmichel,43.696812,6.851962,Association1901,Humanitaire | Solidarité | Spiritualité,,2,"Event, Membership",1529013600,1775035110,110,,bea.potentiels@gmail.com,0685671392
184287,CORPORATION DES ETUDIANTS STAPS NICE,La Corpo STAPS Nice représente les étudiants en STAPS de Nice,/associations/corporation-des-etudiants-staps-nice,https://cdn.helloasso.com/img/logos/croppedimage-9aa29e89e6ef42288a7a1b4a16b31bde.png,https://cdn.helloasso.com/img/photos/croppedimage-5ec2793608ad46be9a1d6a2539ba6d55.png,Nice,06200,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,261 Boulevard du Mercantour,43.691466,7.195197,Association1901Rig,Étudiants | Réseaux pros et étudiants,,4,Event,1577314800,1774991374,110,,corpostaps06@gmail.com,0619849754
650442,R.A.F RASSEMBLER AUTOUR DU FOOT,"L’association RAF – Rassembler Autour du Foot est née du rêve de Rafael, porteur de trisomie 21, de jouer au football comme les autres enfants. Face au manque de structures adaptées, sa famille a créé une équipe pour permettre à d’autres enfants en situation de handicap de vivre leur passion du foot",/associations/r-a-f-rassembler-autour-du-foot,https://cdn.helloasso.com/img/logos/croppedimage-b9ff43cd56be431e9eef22b01c029b8d.png,https://cdn.helloasso.com/img/photos/croppedimage-b466201364a047a581fadf31f7d1ef08.png,Nice,06200,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,81 avenue Corniche Fleurie,43.688153,7.209647,Association1901Rig,Sport,,2,"Donation, Membership",1771455600,,110,,,
458304,Association Editions Léozan ,"Association soutenue par Julia VIGNALI, pour la recherche médicale contre la maladie pédiatrique à axones géants, pour l'accès aux essais thérapeutiques, pour l'amélioration du dépistage. Le sport, l'art et l'écriture sont mis au service de la recherche. Déjà 80 000 euros reversés à l'INSERM !",/associations/association-editions-leozan,https://cdn.helloasso.com/img/logos/croppedimage-3e3b332573b34a05865e35bbe4f0c439.png,https://cdn.helloasso.com/img/photos/croppedimage-894252f6f29849119f9a0337e5d148ff.png,Nice,06100,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,68 Avenue Henry Dunant,43.724125,7.266072,Association1901,Arts | Recherche | Sciences | Santé | Sciences et Technologie,,3,"Event, Donation, Membership",1702681200,1775032144,110,,editionsleozan@gmail.com,
189750,IHEDN - AR Nice Côte d'Azur,L’association régionale Nice Côte d'Azur des auditeurs de l'IHEDN a pour vocation d’animer le réseau d’expertise que constituent les auditeurs de l'IHEDN sur son territoire et de participer aux réflexions et à la diffusion de la culture de défense et de sécurité.,/associations/ihedn-ar-nice-cote-d-azur,https://cdn.helloasso.com/img/logos/croppedimage-abc720a780fe48aeb90508e610d5227b.png,https://cdn.helloasso.com/img/photos/croppedimage-629ad3271b614640b6948a4fccd4ab61.png,Nice,06200,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Route de Grenoble,43.671014,7.208768,Association1901Rig,Culture | Formation | Sécurité | Arts et Culture | Education,,8,"Event, Donation, Membership",1580338800,1774952021,110,,christophersay.nice@gmail.com,0679854987
230221,APE Magnolias,"Association de Parents d'Elèves, nous collectons des fonds pour soutenir les projets du groupe scolaire ""Les magnolias"" à Nice : sorties éducatives, matériel numérique, activités culturelles et actions favorisant le bien-être des élèves. Chaque don profite directement aux enfants. Rejoignez-nous ! ",/associations/ape-magnolias,https://cdn.helloasso.com/img/logos/croppedimage-8e5bd0ca2ac04ef6a6223d038bc1764e.png,https://cdn.helloasso.com/img/photos/croppedimage-67667701f8a44b0ab42407e26d44df5c.png,Nice,06200,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,137 Boulevard Napoleon III,43.679637,7.219294,Association1901,Education | Culture | Enfance | Formation | Informatique,,4,"Event, Donation, Membership",1605481200,1775041253,110,,apemagnolias@gmail.com,+33 6 18 23 50 57
206545,Espace Magnan,"Association culturelle et sportive à Nice (06) qui contient une salle de Cinéma et de Spectacles de 149 places. Plus de 60 Activités : sport, danse, musique, théâtre, bien-être, cirque, ateliers... Accueil de loisirs pendant les vacances dès 6 ans !  Billetterie en ligne : Spectacle Vivant et Cinéma",/associations/espace-magnan,https://cdn.helloasso.com/img/logos/croppedimage-6733695f4f1a4cb78a474336587606cc.png,https://cdn.helloasso.com/img/photos/croppedimage-e7b4d420d1fb46b6b5a5b84cf19e983c.png,Nice,06000,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,31 Rue Louis de Coppet,43.692738,7.245795,Association1901Rig,Arts et Culture | Arts | Cinéma | Cirque | Culture | Danse | Théâtre | Vacances,Don,10,"Event, Donation, Membership",1591048800,1774969211,110,Ouisub | BilletteriePlus,courrier@espacemagnan.com,0493862875
610337,Rimicaris,"Association de protection de la vie marine sur les côtes azuréennes contre la pêche illégale, la plaisance irrespectueuse et la pollution.",/associations/rimicaris,https://cdn.helloasso.com/img/logos/croppedimage-97b8199e464a4907a980a49f7b86604b.jpg,https://cdn.helloasso.com/img/photos/croppedimage-4719fa0f22244fab839c03aa6115e6c0.png,Grasse,06130,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,8 Boulevard Commandant Autran,43.3944,6.5556,Association1901,Ecologie et Environnement | Environnement | Pêche,,2,Membership,1756764000,1775038657,110,,contact@rimicaris.org,0686316537
