objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
387750,Union Sportive Albenassienne de Volley,Club de volley d'Aubenas et du sud Ardèche,/associations/union-sportive-albenassienne-de-volley,https://cdn.helloasso.com/img/logos/croppedimage-739697bb16b145bc99954eb16d3e2438.png,https://cdn.helloasso.com/img/photos/croppedimage-e11b526baffb4b44a60e0d3e077692b8.png,Aubenas,07200,Ardèche,Auvergne-Rhône-Alpes,Boulevard Maréchal Leclerc,44.613896,4.388118,Association1901,Volley-ball | Sport,,2,Event,1679526000,1774965038,110,BasicCompta,usavb07@laposte.net,0615307054
428530,Compagnie fraktal,"De l’intime au social, du sensible au politique, du vrai au faux, La compagnie « fractalise » le réel et l’explore sous plusieurs de ses dimensions, au travers de spectacles, stages et ateliers réguliers.  ",/associations/compagnie-fraktal,https://cdn.helloasso.com/img/logos/croppedimage-7d9ac155781e440ca360353c1f17a6ed.png,https://cdn.helloasso.com/img/photos/croppedimage-a70a6f4d0e1f4bf1b6e0095e6e20e9f0.png,Privas,07000,Ardèche,Auvergne-Rhône-Alpes,8 Grand Rue,44.735362,4.59779,Association1901,Arts | Culture | Arts et Culture,,15,"CrowdFunding, Event, Membership",1693864800,1774960463,110,BasicCompta,contact@compagniefraktal.fr,0788234842
30012,Natation Sud Ardèche,"Natation Sud Ardèche est une association sportive créée en septembre 2009. Elle a pour but le développement de l’enseignement des activités aquatiques et nautiques pour les personnes valides , les personnes handicapés physiques, visuels et auditifs de tout âges et tout niveaux.",/associations/natation-sud-ardeche,https://cdn.helloasso.com/img/logos/croppedimage-b02910ea714d4bb19a198354e6bcef20.png,https://cdn.helloasso.com/img/photos/croppedimage-f811807f4c5949f1a5245d27ea8f081f.png,Lablachère,07230,Ardèche,Auvergne-Rhône-Alpes,QUARTIER LA RAZE,44.4659,4.2165,Association1901Rig,Sport | Enseignement | Handicap | Natation,,5,"Event, Donation, Membership",1412287200,1774955539,110,,clubnsa@orange.fr,0617767447
612076,TANABATA - LANGUE ET CULTURE DU JAPON,"L'association Tanabata est un espace dédié à la promotion de la langue et de la culture du Japon.  Notre mission est de partager la richesse de la culture japonaise à travers des cours de langue, des ateliers culturels et des événements festifs.",/associations/tanabata-langue-et-culture-du-japon,https://cdn.helloasso.com/img/logos/croppedimage-2f8dd4d54aa44c7aa9237a854669f40d.png,https://cdn.helloasso.com/img/photos/croppedimage-ca4d3809c9304ebbac2fd3929fbaa566.png,Saint-Péray,07130,Ardèche,Auvergne-Rhône-Alpes,rue de la Mairie,44.944533,4.840298,Association1901,Arts | Culture | Fête | Arts et Culture,,5,"Shop, Event, Membership",1757368800,1774895681,110,,culturejapon07@gmail.com,
287551,dance chomérac,"Dance chomérac est une association loi 1901, qui diffuse toutes sortes d'activités à travers le chant, la danse, l'anglais, le posturall  ball et le gospel. Cours enfants de girly style et hip hop, cours de danse africaine, cours de postural ball, chorale de variétés française et choeur de gospel .",/associations/dance-chomerac,https://cdn.helloasso.com/img/logos/croppedimage-a989adff9c4c4f8f9d0b11ea173b8ee5.png,https://cdn.helloasso.com/img/photos/croppedimage-a3ec0df898754f3ab5905b5b076e048e.jpg,Chomérac,07210,Ardèche,Auvergne-Rhône-Alpes,16 rue du 19 mars 1962,44.707971,4.66006,Association1901,Arts | Chant | Chorale | Culture | Danse | Enfance | Gospel | Hip-hop | Musique,Octobre-rose,7,"Event, Membership",1634508000,1774812912,110,BasicCompta,dancechomerac@sfr.fr,0623251385
656717,APEL ÉCOLE PRIVÉE SAINT MARTIN VALS LES BAINS,"Association des parents d’élèves de l’école privée saint Martin de Vals les bains. Nous organisons des activités, festivités, sorties scolaires et extra-scolaires.",/associations/apel-ecole-privee-saint-martin-vals-les-bains,https://cdn.helloasso.com/img/logos/croppedimage-29a06639b487496b90b7586457467e33.png,https://cdn.helloasso.com/img/photos/croppedimage-ca197719e3374d0a9adfdabec31ca81b.png,Vals-les-Bains,07600,Ardèche,Auvergne-Rhône-Alpes,10 Boulevard de Vernon,44.6649,4.366543,Association1901,,,1,Event,1773702000,1774690729,110,,apelstmartinvalslesbains@gmail.com,
411901,AAJSA,AAJSA Saint Alban d'Ay,/associations/aajsa,https://cdn.helloasso.com/img/logos/croppedimage-a307362df75644759b65950ac6440cb0.png,https://cdn.helloasso.com/img/photos/croppedimage-324a5cfb9aad47fab16cb44bce2be9bc.png,Saint-Alban-d’Ay,07790,Ardèche,Auvergne-Rhône-Alpes,Saint-Alban-d'Ay,45.186589,4.637027,Association1901,Loisirs,,2,Event,1687125600,1767972663,110,,leogoin@gmail.com,0680728595
288674,Association Intégration Sensorielle et Motrice - ISM,"Association regroupant les praticien·nes formé·es et qui exercent en Intégration Sensorielle et Motrice, ainsi que certains parents d'enfants que nous suivons.",/associations/association-integration-sensorielle-et-motrice-ism,https://cdn.helloasso.com/img/logos/croppedimage-110f209f005e4a0b948681cb9b6e3794.png,https://cdn.helloasso.com/img/photos/croppedimage-ef1c627b25f34e3ea0c63f6e6556b3e0.png,Lablachère,07230,Ardèche,Auvergne-Rhône-Alpes,129 Chemin du Prieure,44.451133,4.208457,Association1901,Education | Enfance | Formation,,6,"Event, PaymentForm, Donation, Membership",1635112800,1774952280,110,,ismreflexes@gmail.com,
559905,BMX RIDERS 07,Le club de BMX Race du Sud Ardèche,/associations/bmx-riders-07,https://cdn.helloasso.com/img/logos/croppedimage-01979ccf252a418b96851ec303f1b04a.png,https://cdn.helloasso.com/img/photos/croppedimage-1a4400ae64224e718ce5943fc80868e2.jpg,Lavilledieu,07170,Ardèche,Auvergne-Rhône-Alpes,Chemin des Clôts,44.574404,4.457526,Association1901Rig,BMX | Sport | Animaux,,7,"CrowdFunding, Event",1736031600,1774956563,110,,contact@bmxriders07.com,06.62.39.48.52
543585,APEL SAINTE COLOMBE CHARMES SUR RHONE,Association de parents d'élèves de l'école Sainte Colombe à Charmes sur Rhône  ,/associations/apel-sainte-colombe-charmes-sur-rhone,https://cdn.helloasso.com/img/logos/croppedimage-04c9159880a24f8aaf9416b93055c620.png,https://cdn.helloasso.com/img/photos/croppedimage-e5f21ebd5c4b4b3494660b4301175307.png,Charmes-sur-Rhône,07800,Ardèche,Auvergne-Rhône-Alpes,38 Rue du Péage,44.86251,4.833632,Association1901,Education | Formation | Parents d'élèves,,1,Shop,1729548000,1774811418,110,,apel@ecolestecolombe.fr,0689474159
