objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
174965,Mazette Productions,Association pour le maintien de la tradition folklorique festive en estive !,/associations/mazette-productions,https://cdn.helloasso.com/img/logos/croppedimage-edb5a4f0c89e4160b4ab0816ae083ff6.jpg,https://cdn.helloasso.com/img/photos/croppedimage-dd97bd4a5aa74f7dbb364e03f44a097e.png,La Bastide-de-Sérou,09240,Ariège,Occitanie,Place du 8 Mai 1945,43.014696,1.430727,Association1901,Arts | Culture | Fête | Arts et Culture,,1,Event,1573340400,1774987138,110,,taulelle.laure@gmail.com,0678473415
595607,LES ATELIERS D'ENSALES,"""Un lieu unique, des espaces communs."" Ateliers d'artisanat partagés, plateforme de bois de réemploi, formation, accueil social et insertion professionnelle, soutien à la culture via des événements et mise à disposition d'espaces, coworking et espaces de convivialité.",/associations/les-ateliers-d-ensales,https://cdn.helloasso.com/img/logos/croppedimage-6371472087764e91be1de0ef06cd6a57.png,https://cdn.helloasso.com/img/photos/croppedimage-cb552216a24e49a4b2875ad79c01a37a.png,La Bastide-de-Sérou,09240,Ariège,Occitanie,ZA Ensales,43.007984,1.436159,AssociationProprietaire,Artisanat | Coworking | Culture | Formation | Insertion | Étudiants | Education,,1,Membership,1749506400,,110,,manufacturelbs@gmail.com,
170236,Inspiration Sauvage,"Démonstrations, ateliers, stages et formations autour des savoir-faire ancestraux associés à la Préhistoire, à la vie sauvage et aux peuples premiers.  Site internet : https://inspirationsauvage.fr/",/associations/inspiration-sauvage,https://cdn.helloasso.com/img/logos/inspiration sauvage-d40b6b7de6a346228da0bc306687dfb3.jpg,https://cdn.helloasso.com/img/photos/croppedimage-a22692ebb4904969a692f25804c52e46.png,Le Mas-d’Azil,09290,Ariège,Occitanie,Casterot,43.071845,1.319119,Association1901,Arts | Culture | Formation | Internet | Arts et Culture,,16,"Event, Donation",1570572000,1774993294,110,Infolocale,inspirationsauvage@gmail.com,0660093731
332399,Enfance Libre,"Notre raison d’être Défendre le droit des familles de choisir le type d'instruction que reçoivent les enfants, inscrit à l’article 26.3 de la Déclaration des Droits de l’Homme, face aux tentatives répétées du gouvernement français de supprimer cette liberté fondamentale.",/associations/enfance-libre,https://cdn.helloasso.com/img/logos/croppedimage-8040ed9378264884b3c7f2c6cc505e97.png,https://cdn.helloasso.com/img/photos/croppedimage-5a571a908fa1471f841fd2e8d60e5bb1.png,Le Fossat,09130,Ariège,Occitanie,329 Cote de Guillassou,43.17486,1.419846,Association1901,Solidarité et Action Sociale | Enfance | Humanitaire | Solidarité,,4,"CrowdFunding, Donation, Membership",1656367200,1774886456,110,,infos@enfance-libre.fr,
305269,Comité Miss Ariège ,Le comité Miss Ariège organise chaque année l'élection de la Miss Ariège autour d'une soirée de spectacle et l'accompagne durant toute l'année sur des événements locaux et dans son parcours pour Miss France,/associations/comite-miss-ariege,https://cdn.helloasso.com/img/logos/croppedimage-f59fc558225e4914b8ea2f66e8a0c667.png,https://cdn.helloasso.com/img/photos/croppedimage-e0018121bdc8477195fc3c2f250f8c2e.png,Pamiers,09100,Ariège,Occitanie,23 Avenue du 9e Rcp,43.116003,1.626422,Association1901,Arts | Culture | Arts et Culture,,1,Event,1644447600,1774890694,110,,comitemissariege@outlook.fr,0683976239
368787,Mas d'Azil Ultimate Frisbee,Club d'Ultimate Frisbee au Mas d'Azil !,/associations/mas-d-azil-ultimate-frisbee,https://cdn.helloasso.com/img/logos/croppedimage-096cf0ccce514b3b8503ce7b401fa109.png,https://cdn.helloasso.com/img/photos/croppedimage-30308308656649a0a900466b255c6653.png,Le Mas-d’Azil,09290,Ariège,Occitanie,3 Rue des Gouzis,43.081832,1.360228,Association1901,Sport,,3,Event,1673650800,1774947541,110,,isards.ultimate@gmail.com,
55983,Sharana,Sharana France est une association loi 1901 qui accompagne des projets de développement durable et global en Inde auprès de famille en grande précarité. Le rôle de notre équipe de bénévoles est de trouver les moyens de financer les projets et de les suivre.,/associations/sharana,https://cdn.helloasso.com/img/logos/sharana.png,https://cdn.helloasso.com/img/photos/croppedimage-ef4bd418351d41f99d5001180d71dfe4.png,Le Vernet,09700,Ariège,Occitanie,ST PAUL –,43.196999,1.602632,Association1901Rup,Solidarité et Action Sociale | Caritatif | Développement durable | Humanitaire,Don,7,"Shop, Event, PaymentForm, Donation",1480374000,1774851053,110,,contact@sharana.fr,0682284871
56593,Comité Écologique Ariégeois,"Depuis plus de 45 ans, le CEA s'engage pour la protection des espèces et des espaces en Ariège. En tant qu'association agréee nous œuvrons pour une meilleure prise en compte de l’importance de la nature, des paysages, de la biodiversité, de la qualité des cours d’eau et des zones humides.",/associations/comite-ecologique-ariegeois,https://cdn.helloasso.com/img/logos/croppedimage-aa68967874db4c4b92dea6737f67fa0f.png,https://cdn.helloasso.com/img/photos/croppedimage-90d3fcdcf38946af9a8075534db93fb4.png,Pailhès,09130,Ariège,Occitanie,Mairie de Pailhès,43.10238,1.44373,Association1901Rig,Ecologie et Environnement | Biodiversité | Environnement,Don,3,"Event, Donation, Membership",1482015600,1774530301,110,,contact@comite-ecologique-ariegeois.org,
93514,Centre Chrétien Régional Vie Nouvelle,Centre Chrétien Régional Vie Nouvelle basé en basse Ariège dans les coteaux. ,/associations/centre-chretien-regional-vie-nouvelle,https://cdn.helloasso.com/img/logos/croppedimage-8d80651d3a2d41f5b272ca5b5bc2c7b6.png,https://cdn.helloasso.com/img/photos/croppedimage-5b76d7860da04e819d3a74dc3dc274ce.png,Villeneuve-du-Latou,09130,Ariège,Occitanie,La Graousse,43.209808,1.446546,Association1901Rig,Caritatif | Humanitaire | Religion,Don,1,CrowdFunding,1521500400,1753440866,110,,,
563177,Désaccords Parfaits,"Association gérant l'activité de l'Orchestre école à cordes ""A Une Not Près"", orchestre à cordes pour musiciens d'instruments à cordes de tous âges, et accueillant notamment, mais pas que, les élèves des Ecoles de Musique de Saint Girons, Tarascon et Pamiers.",/associations/desaccords-parfaits,https://cdn.helloasso.com/img/logos/croppedimage-ea18e2d4fdad44679d6e72b621482b6c.png,https://cdn.helloasso.com/img/photos/croppedimage-5b5cd4c1b9614f83ad12682c44654fb1.png,Foix,09000,Ariège,Occitanie,11 Avenue du Stade,42.95448,1.616726,Association1901,Arts | Culture | Musique,,1,Event,1736982000,1774630214,110,,assodap09@gmail.com,
