objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
390846,Association Sportive du Golf de la Forêt d'Orient,L ’Association Sportive du Golf de la Forêt d’Orient est affiliée à la Fédération Française de Golf et fait partie de la Ligue Grand Est. Elle assure son rôle d'animateur sportif au club en organisant des compétitions grâce au soutien de nos sponsors et des propriétaires du domaine.,/associations/association-sportive-du-golf-de-la-foret-d-orient,https://cdn.helloasso.com/img/logos/croppedimage-a91802f2fc324d89b9111440ec086f81.png,https://cdn.helloasso.com/img/photos/croppedimage-82e7e40e7a5e4f8db787468f9e872e3d.png,Rouilly-Sacey,10220,Aube,Grand Est,Route de Geraudot,48.328406,4.286763,Association1901,Sport | Forêt | Golf,,10,Event,1680472800,1775059175,110,,contact@asgfo.fr,
309880,Maison de la Science - Hubert Curien,"Association loi 1901 regroupant des associations scientifiques et d’éducation populaire.  Afin de rendre les sciences accessibles à tous, la Maison de la Science met en place tout au long de l’année différentes actions de médiation. ",/associations/maison-de-la-science-hubert-curien,https://cdn.helloasso.com/img/logos/croppedimage-3c15d91a1b4f462eab9b425149486baa.png,https://cdn.helloasso.com/img/photos/croppedimage-f76213a985954e7fbe3ccce49986510a.png,Sainte-Savine,10300,Aube,Grand Est,2ter Rue Lamoriciere,48.29355,4.055792,Association1901Rig,Arts | Culture | Sciences | Sciences et Technologie,,46,"Shop, Event, Donation, Membership",1646694000,1775040754,110,,secretariat@maisondelascience.fr,0325710352
209504,Le Rucher Créatif,"Le Rucher Créatif est un tiers-lieu innovant et collaboratif au centre-ville de Troyes, proche de la gare.  Tous nos évènements sur : https://le-rucher-creatif.org/programmation/",/associations/le-rucher-creatif,https://cdn.helloasso.com/img/logos/croppedimage-2217a8267f0341ec9c3fccf6e7016b51.png,https://cdn.helloasso.com/img/photos/croppedimage-4ac6971b4818405da6f3df035893f823.png,Troyes,10000,Aube,Grand Est,17 Rue Colonel Driant,48.29477,4.068599,Association1901Rig,Humanitaire | Informatique | Solidarité | Solidarité et Action Sociale,,84,"Event, Membership",1592776800,1775032096,110,OHME,contact@le-rucher-creatif.org,0780348769
393096,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE SAINTE JULE,L’APEL de l’école est une association constituée de parents d’élèves bénévoles L’UNE DES ACTIONS DE L’APEL VISE Á RÉCOLTER DES FONDS. Ces fonds participent à la mise en place des projets de l’école L’APEL par son dynamisme et son soutien participe à la vie à l’établissement ,/associations/association-des-parents-d-eleves-de-l-ecole-sainte-jule,https://cdn.helloasso.com/img/logos/croppedimage-895c2c788c1d4b2cbb1dde722a267e0b.png,https://cdn.helloasso.com/img/photos/croppedimage-d18e3135efce466f9d04b6666abcc78c.png,Troyes,10000,Aube,Grand Est,5 Rue Saint Antoine,48.304457,4.065677,Association1901,Education | Formation,,2,"Shop, Membership",1681250400,1774986377,110,,tresorerie.apelstejule23@gmail.com,
285917,Aux Adelphes,"Tiers-lieu artistique, culturel, inclusif au cœur de Troyes. Pour peindre avec les doigts, cueillir les bons champignons, brasser votre propre bière, faire des petits monstres au crochet, participer à des cercles de parole…   https://www.auxadelphes.com/ ",/associations/aux-adelphes,https://cdn.helloasso.com/img/logos/croppedimage-76ae07bf3d914fa7aa0f9db2bc461721.png,https://cdn.helloasso.com/img/photos/croppedimage-d4310100b29d45edaba97d3440755356.png,Sainte-Savine,10300,Aube,Grand Est,72 Avenue du General Gallieni,48.294034,4.055649,Association1901,Arts | Culture | Peinture | Arts et Culture,,15,"Event, Donation, Membership",1633557600,1775025920,110,OHME,auxadelphes@gmail.com,
568726,ASSOCIATION TEAM PILOTE,L'association TEAM PILOTE a le plaisir de vous convier à la 2ème édition de son Grand Rassemblement Autos - Motos - Camions : Pilote Passion Festival qui se déroulera jeudi 1er mai 2025 à Pon-Sainte-Marie (10).,/associations/association-team-pilote,https://cdn.helloasso.com/img/logos/croppedimage-a80cee766f6e483bbedac06284055d23.png,https://cdn.helloasso.com/img/photos/croppedimage-1ee38b0078384d5395baeea5515e31a9.png,Pont-Sainte-Marie,10150,Aube,Grand Est,24 rue Danton,48.324012,4.104476,Association1901,Moto | Sport,,1,Event,1738796400,1775063525,110,,pilotepassionfestival@gmail.com,
265485,Nid de créateurs,"Cette Association a pour objet de promouvoir l’artisanat d’art, la création “fait main” au travers d'événements divers. Nous avons ouvert un tiers-lieu ouvert au co-working et aux ateliers créatifs qui se trouve à Maraye-en-Othe.",/associations/nid-de-createurs,https://cdn.helloasso.com/img/logos/croppedimage-6c69d35770fa44ba9cbddc29ff914bbd.png,https://cdn.helloasso.com/img/photos/croppedimage-149b8432f9fb4382abc85e89644eb150.png,Maraye-en-Othe,10160,Aube,Grand Est,rue du pressoir,48.162903,3.853885,Association1901,Artisanat | Arts | Coworking | Humanitaire | Solidarité | Arts et Culture,,11,"Shop, Event, Membership",1622498400,1774977842,110,,niddecreateurs@yahoo.com,
55182,Quai des Arts,"Participer à une dynamique de développement rural dans le barséquanais au travers d'activités culturelles, éducatives, artistiques..",/associations/quai-des-arts,https://cdn.helloasso.com/img/logos/quai-des-arts.jpg,https://cdn.helloasso.com/img/photos/97025.jpg,Polisot,10110,Aube,Grand Est,"L'Aiguillage, 3 place de la gare",48.073051,4.384906,Association1901Rup,Arts | Culture | Arts et Culture,,3,"Event, PaymentForm, Membership",1478214000,1775038062,110,,contact@laiguillage.org,0351637152
300937,Basket Sancéo Troyen,"Basket Sancéo Troyen, c’est un club familial et passionné, actif à Troyes et Saint-Julien-les-Villas. Ouvert à tous : enfants, ados, adultes, débutants ou compétiteurs ! Une ambiance conviviale, des entraîneurs engagés et des bénévoles au top.",/associations/basket-sanceo-troyen,https://cdn.helloasso.com/img/logos/croppedimage-6129616e89224f88b824018a618c32f0.png,https://cdn.helloasso.com/img/photos/croppedimage-8b55a58a91a64b84902c931f999f2693.jpg,Troyes,10000,Aube,Grand Est,63 Avenue Pasteur,48.302301,4.063003,Association1901,Basketball | Enfance | Sport,,2,"Donation, Membership",1642287600,1774988164,110,FFBB,contact@basket-sanceo-troyen.fr,
518087,WATCHMEN INTERNATIONAL MISSION,"La WATCHMEN INTERNATIONAL MISSION est une association culturelle de type protestante évangélique poursuivant des objectifs missionnaires (France, Europe, et étranger).Elle vise la promotion de la paix, le dialogue inter religieux, la formation des bénévoles et l’assistance des personnes vulnérables.",/associations/watchmen-international-mission,https://cdn.helloasso.com/img/logos/croppedimage-fd7bfc10c49f4b4d83d78daea01ac9e1.png,https://cdn.helloasso.com/img/photos/croppedimage-101e9d55b549412ca0809302f0c59344.png,Troyes,10000,Aube,Grand Est,1 Rue Colonel Driant,48.294837,4.069296,Association1901,Solidarité et Action Sociale | Culture | Formation | Religion,,8,"Donation, PaymentForm, Event, Membership",1720044000,1774213799,110,OHME,contact@watchmen-im.com,0783433786
450761,Romilly Catch Club,Le Romilly Catch Club est une association loi 1901 qui propose une pratique et apprentissage du Catch dans l'Aube .,/associations/romilly-catch-club,https://cdn.helloasso.com/img/logos/croppedimage-92bfa086477c4903bb2b16c60a0bb6de.png,https://cdn.helloasso.com/img/photos/croppedimage-b9b1f28e91a9416ea8c92429ee0d2f6e.png,Romilly-sur-Seine,10100,Aube,Grand Est,15 Rue Gabriel Willaume,48.520074,3.727909,Association1901,Sport,,1,Event,1700175600,1775032441,110,,romillycatchclub@gmail.com,0781427879
325049,Handball Club Savino Chapelain,"Le handball club savino-chapelain c'est une association situé à Sainte-Savine et La chapelle St-Luc, dans l'agglomération de Troyes avec près de 200 licenciés dans toutes les catégories dès 3 ans ! Venez nous découvrir ! ",/associations/handball-club-savino-chapelain,https://cdn.helloasso.com/img/logos/croppedimage-b0c22ce7c93340ca8af1644dc152ff70.png,https://cdn.helloasso.com/img/photos/croppedimage-50a2d63f418f4483874dd325a223978d.png,Sainte-Savine,10300,Aube,Grand Est,1 Rue Lamoriciere,48.29376,4.055846,Association1901,Sport | Handball,,2,"Shop, Event",1653775200,1774981970,110,FFHB,5610029@ffhandball.net,
398284,Interlink UTT,Interlink est l'association de l’UTT qui aide les étudiants français et étrangers à mieux se connaître entre eux en organisant des voyages et activités à Troyes et ces alentours.  ,/associations/interlink-utt,https://cdn.helloasso.com/img/logos/croppedimage-d5631300d91348ab9cedc7cd455fd978.png,https://cdn.helloasso.com/img/photos/croppedimage-3cbde0b8811d4fe99cc6105549c5752b.png,Troyes,10000,Aube,Grand Est,12 Rue Marie Curie,48.272346,4.07644,Association1901,Voyages | Étudiants | Réseaux pros et étudiants,,1,Event,1683064800,1774634656,110,,interlink@utt.fr,0651150734
