objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
542291,IRIS ASSOCIATION ,"L’association IRIS a pour mission de représenter les patients atteints de Déficits Immunitaires Primitifs (DIP) en France. Plus de 6 000 enfants et adultes sont concernés en France par cet ensemble de plus de 450 maladies génétiques rares, affectant le système immunitaire. ",/associations/iris-association,https://cdn.helloasso.com/img/logos/croppedimage-652d810feb404947b02dbac5be01054e.png,https://cdn.helloasso.com/img/photos/croppedimage-44ec3b10d4364a53a7163c89d425c1e6.png,Angoulême,16000,Charente,Nouvelle-Aquitaine,121 rue de Saintes ,45.658595,0.144045,Association1901Rup,Enfance | Humanitaire | Solidarité | Santé,,4,"Shop, Donation, Membership",1729116000,1774985986,110,,info@associationiris.org,0545398228
536621,angouleme natation charente,Bienvenue ! Nous sommes le club d'Angoulême Natation Charente.    Notre boutique en ligne est le meilleur moyen pour vous de nous soutenir en vous faisant plaisir !     Tu trouveras ici ce qui n’existe pas ailleurs ;),/associations/angouleme-natation-charente,https://cdn.helloasso.com/img/logos/croppedimage-7544789fa81e44bca0b93f844b7b7c3d.png,https://cdn.helloasso.com/img/photos/croppedimage-02d87fdc6e0a4c22b41be342509146f4.png,Angoulême,16000,Charente,Nouvelle-Aquitaine,4 Impasse des Rossignols,45.631753,0.166242,Association1901,Natation | Sport,Octobre-rose,1,Event,1727388000,1774972815,110,,,
636061,PIMAA - Le Noyau,Tiers-lieu Art et Artisanat,/associations/pimaa-le-noyau,https://cdn.helloasso.com/img/logos/croppedimage-6611c1e1e32e429295841e04cbd2b16f.png,https://cdn.helloasso.com/img/photos/croppedimage-f71a4eeb54b14f678cde36987782d818.png,Angoulême,16000,Charente,Nouvelle-Aquitaine,21 Rue Ludovic Trarieux,45.649251,0.155223,Association1901,Arts et Culture | Artisanat | Arts | Culture,,5,Event,1766012400,1774963039,110,,lenoyau.pimaa@gmail.com,
408731,Jeunesse sportive Angoumoisine tennis club,"Club de tennis, de Beach Tennis et de Pickleball .  Une école de tennis jeunes et adultes.  Club de quartier , plus de 100 licenciés¨ Participation aux compétitions tennis Organisation de tournois de Beach Tennis  Organisation de tournois de Pickleball Cours de tennis, Beach  Tennis et pickleball",/associations/jeunesse-sportive-angoumoisine-tennis-club,https://cdn.helloasso.com/img/logos/croppedimage-60f701ff1d6146c1abaf64c8bcc238cb.jpg,https://cdn.helloasso.com/img/photos/croppedimage-7aefd6ec137e43c2a8da367b1ec07606.png,Angoulême,16000,Charente,Nouvelle-Aquitaine,Rue Robert Jolly,45.657744,0.153233,Association1901,Sport | Tennis,,5,"Shop, Event, Membership",1686088800,1774951344,110,FFT,59160154@fft.fr,0687819892
557472,ASSOCIATION TELLINGTON TTOUCH FRANCE,"Une approche efficace, centrée sur le cœur et peu stressante pour comprendre et travailler avec les animaux de toutes les espèces.  L’Association a pour but de faire connaître la méthode Tellington TTouch en France pour augmenter le bien-être des animaux.",/associations/association-tellington-ttouch-france,https://cdn.helloasso.com/img/logos/croppedimage-a4e2761c7b5a4d14a29ae3b66884db7c.png,https://cdn.helloasso.com/img/photos/croppedimage-f3a7a2d2e16f4ae0948e1a0e59c9e8e3.png,Challignac,16300,Charente,Nouvelle-Aquitaine,14 Route de Chez Giat,45.404747,-0.097484,Association1901,Animaux | Formation,,5,"Shop, Event, Membership",1734476400,1774863577,110,,connect@tellington-ttouch.fr,
490869,COGNAC VOLLEY-BALL,"Club de Volley-ball en Charente (16), affilié à la FFVolley Club Formateur / Label Volley santé  ",/associations/cognac-volley-ball,https://cdn.helloasso.com/img/logos/croppedimage-69f3f5a2b46b4e66abdc1b159a8903b4.png,https://cdn.helloasso.com/img/photos/croppedimage-92416aa7e91346fe9fcd78cff1f93efb.png,Cognac,16100,Charente,Nouvelle-Aquitaine,24 Rue Claude Boucher,45.699195,-0.334909,Association1901Rig,Sport | Formation | Volley-ball,,7,"Shop, Event, Donation, Membership",1711407600,1774988070,110,,cognacvolley@gmail.com,0687200406
422137,CIVAM du Sud Charente,"Les agriculteurs du CIVAM du Sud Charente construisent des des systèmes économes en consommation d’énergie, d’eau, d’engrais, de produits phytopharmaceutiques. Leur volonté est de s’appuyer au maximum sur les services naturels dont ils disposent et piloter des fermes plus autonomes. ",/associations/civam-du-sud-charente,https://cdn.helloasso.com/img/logos/croppedimage-7f1d4072f77a4dcdb69957e0a72c39a0.png,https://cdn.helloasso.com/img/photos/croppedimage-69f6d7f6047f4f35a66495b34f44dee4.png,Puymoyen,16400,Charente,Nouvelle-Aquitaine,2 Rue des Chasseurs,45.625349,0.157755,Association1901,Formation | Ecologie et Environnement,Sudouest,2,Membership,1691013600,1774952221,110,BasicCompta,berengere.civam@gmail.com,0637820804
92512,Association des Amis du Château de la Tranchade,L'AACT a pour but de promouvoir la préservation du site du château de La Tranchade et de participer au développement de la vie culturelle sur les lieux.,/associations/association-des-amis-du-chateau-de-la-tranchade,https://cdn.helloasso.com/img/logos/association-des-amis-du-chateau-de-la-tranchade-b4532d3db7cc40d9a01ea56c4bd1f449.jpg,https://cdn.helloasso.com/img/photos/137210-7c957b7f5d3d4ef09b2b5861cc3f7d47.jpg,Garat,16410,Charente,Nouvelle-Aquitaine,Château de la Tranchade,45.623335,0.242855,Association1901,Patrimoine | Culture,,1,Event,1520377200,1774950883,110,,alaindelorgeril@gmail.com,0678504109
303369,Vind'Hell Fest,"Qui sommes-nous? Patrick, Mika, Patrice et Laurent, des passionnés de Hard Rock, Metal et musique amplifiée. Devant une demande de plus en plus forte du public et un manque évident de scènes en Charente, nous nous sommes lancés en créant l'association Vind'Hell Fest pour  organiser un festival.",/associations/vind-hell-fest,https://cdn.helloasso.com/img/logos/croppedimage-6ca9989a6388443f9d972bde7b5f4833.png,https://cdn.helloasso.com/img/photos/croppedimage-5dd32d7b34664d47a90108eff9e7a3dd.png,Vindelle,16430,Charente,Nouvelle-Aquitaine,7 Allée des Marronniers,45.730104,0.108033,Association1901,Arts | Culture | Metal | Rock | Musique,,3,"Shop, Event, Donation",1643583600,1774971498,110,,vindhell.fest@gmail.com,0674032722
430689,Tatiniass,"Cette association a pour objet de développer la création artistique en%tout genre, de mettre en place les moyens nécessaires pour qu’elle prenne vie et d’organiser des projets, spectacles et évènements pour qu’elle soit accessible au public le plus nombreux et le plus large possible.",/associations/tatiniass,https://cdn.helloasso.com/img/logos/croppedimage-c7d021185d574bce94dce4d5b60dc3be.png,https://cdn.helloasso.com/img/photos/croppedimage-451c5cf32bf14c00ac0c99343ee8c733.png,Angoulême,16000,Charente,Nouvelle-Aquitaine,12 Rue du Port Cherier,45.653315,0.1564,Association1901Rig,Arts | Culture | Arts et Culture,Don,1,Event,1694210400,1774989778,110,,laroseraiedupuy@gmail.com,0767589770
