objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
453556,USB RUGBY BERGERAC,Équipe de sport amateur,/associations/usb-rugby-bergerac,https://cdn.helloasso.com/img/logos/croppedimage-9c9b4d6127b74555b0563739ac25faf3.png,https://cdn.helloasso.com/img/photos/croppedimage-d2349fc1dba1409e870e578090f31658.png,Bergerac,24100,Dordogne,Nouvelle-Aquitaine,30 Rue Anatole France,44.847995,0.496682,Association1901,Sport,,5,"Shop, Event, Membership",1701126000,1774978367,110,,usbergerac.edr@gmail.com,0553579850
531761,TEAM FAST AND FLASH,"Team Fast & Flash (TFF) est une association dédiée aux passionnés de moto et de mécanique. Nous organisons des événements axés sur le roulage, la personnalisation de motos, et la convivialité, avec un accent particulier sur les petites cylindrées (moins de 25cv). ",/associations/team-fast-and-flash,https://cdn.helloasso.com/img/logos/croppedimage-1ea2c5ef54f04d39be8e19d5ceef3f73.png,https://cdn.helloasso.com/img/photos/croppedimage-363c84c0446544d4a64b2abbe7324491.jpg,Sorges et Ligueux en Périgord,24420,Dordogne,Nouvelle-Aquitaine,Rue des Bruyères,45.303438,0.852837,Association1901,Sport | Moto,,2,Event,1726005600,1774985247,110,,,
246856,FRENCH TECH PERIGORD,"Cette association a pour but de développer la croissance de l'écosystème des start-up et entreprises innovantes périgourdines, afin de développer la visibilité locale de l'écosystème French Tech Périgord ",/associations/french-tech-perigord,https://cdn.helloasso.com/img/logos/croppedimage-45de8b4d71304d51b898ca913cb167cc.png,https://cdn.helloasso.com/img/photos/croppedimage-502af5fc6f314f0496a904dabc29eebb.png,Périgueux,24000,Dordogne,Nouvelle-Aquitaine,12 bis Rue Louis Blanc,45.188798,0.709312,Association1901,Étudiants | Réseaux pros et étudiants,Sudouest,5,"Event, Membership",1613343600,1774966959,110,,n.heraut.frenchtechperigordv@gmail.com,0686087358
572460," Club Athlétique Ribéracois, section Rugby Dordogne",Ecole de rugby de Ribérac rattachée au Club Athlétique Ribérac Rugby Dordogne  ,/associations/club-athletique-riberacois-section-rugby-dordogne,https://cdn.helloasso.com/img/logos/croppedimage-238b46e849594f9aae904aaba7d9123c.jpg,https://cdn.helloasso.com/img/photos/croppedimage-b2727749baa44028b406106676ef5f45.jpg,Ribérac,24600,Dordogne,Nouvelle-Aquitaine,Voie des Stades,45.250834,0.336884,Association1901,Sport | Rugby,,1,Event,1740265200,1774528769,110,,carrd.edr@gmail.com,
617277,Association bulle sonore enfance et périnatalité ,"L' association ""Bulle Sonore, enfance et périnatalité"" est un dispositif innovant de soutien  à la parentalité à médiation musicale . Nos actions sont proposées dans les différentes structures du territoire accueillant les jeunes enfants et leur parents ( centres sociaux, structures périnatales ..) ",/associations/association-bulle-sonore-enfance-et-perinatalite,https://cdn.helloasso.com/img/logos/croppedimage-f4e0da1b3a66423aaeb790c89764b9ca.png,https://cdn.helloasso.com/img/photos/croppedimage-9a9f808226ca4a78b7c5d0d0c9969bf8.png,Champcevinel,24750,Dordogne,Nouvelle-Aquitaine,77 Route du Godet,45.226459,0.700234,Association1901,Enfance | Humanitaire | Solidarité | Education,,2,"Donation, PaymentForm",1759010400,1768035999,110,,associationbullesonore@gmail.com,0776547335
639627,MOULIN NEUF EN FÊTE,"Moulin Neuf en Fête est le nouveau comité des fêtes de Moulin Neuf (24). Nous sommes un petit groupe de personnes motivées, de tout âge et d’horizons différents. Notre mission? Imaginer et organiser des événements ouverts à tous, afin de créer des moments de partage, de rencontre et de bonne humeur.",/associations/moulin-neuf-en-fete,https://cdn.helloasso.com/img/logos/croppedimage-cecce498cdc64105940ed85551d50686.png,https://cdn.helloasso.com/img/photos/croppedimage-b97e807966d44c3cac76c101fb9b313b.png,Moulin-Neuf,24700,Dordogne,Nouvelle-Aquitaine,3 rue Jules Ferry,45.012039,0.065709,Association1901Rig,Arts | Culture | Fête | Loisirs | Arts et Culture,,3,"Event, Donation, Membership",1767999600,1774991548,110,,contact@cdf-moulinneuf.fr,0671481910
230246,Association Trufficulture Pour Tous,"Fondée en 2016, l'association Trufficulture Pour Tous a créé une truffière pédagogique adaptée et accessible aux personnes à mobilité réduite et à toute personne ayant un handicap. L'ambition est de faire découvrir et aimer la truffe au plus grand nombre. ",/associations/association-trufficulture-pour-tous,https://cdn.helloasso.com/img/logos/croppedimage-671adce8ca4f49c98d5fede873231f0c.jpg,https://cdn.helloasso.com/img/photos/croppedimage-e35a18038e7f4b54a2780929f821e70d.png,Sainte-Foy-de-Longas,24510,Dordogne,Nouvelle-Aquitaine,313 Route des Gardes,44.934909,0.769724,Association1901,Formation | Handicap | Education,,1,CrowdFunding,1605481200,1774892641,110,,contact@perigord.co,0624837286
572867,ASSOCIATION ANGELO & CO,"L'association permet de soutenir et accompagner notre fils Angelo, 4 ans et demi, atteint d'une maladie génétique rare : le syndrome de Cohen. Elle finance des frais inhérents à ses handicaps (thérapies, matériel adapté, aide humaine etc.) .",/associations/association-angelo-co,https://cdn.helloasso.com/img/logos/croppedimage-b8c58c3073f44b9aa2585692e0517067.png,https://cdn.helloasso.com/img/photos/croppedimage-8a9b3212b6224fc5a4be72a06694029c.png,Plazac,24580,Dordogne,Nouvelle-Aquitaine,Plazac,45.046457,1.038236,AssociationProprietaire,Formation | Handicap | Humanitaire | Solidarité | Solidarité et Action Sociale | Santé,,3,"Donation, Membership",1740438000,1774599192,110,,delphine.thieffry@yahoo.fr,
301274,PADMA YOGA 24,"Padma Yoga est une association dédiée à la diffusion du yoga et du bien-être. À travers des cours, ateliers, stages, séjours et autres événements, elle invite à explorer le yoga dans toutes ses dimensions : postures, souffle, méditation, kriyas et philosophie. Un espace pour se reconnecter à soi.",/associations/padma-yoga-24,https://cdn.helloasso.com/img/logos/croppedimage-15278083f8534974b548b561847af2c4.png,https://cdn.helloasso.com/img/photos/croppedimage-d6e3ed53b107482cb962bf5fcdbb9a94.png,Bergerac,24100,Dordogne,Nouvelle-Aquitaine,37 Rue Waldeck Rousseau,44.853067,0.472967,Association1901,Bien-être | Méditation | Philosophie,,13,"Event, Donation, Membership",1642460400,1774968121,110,,padmayoga.fr@gmail.com,0641255687
74368,JAZZ POURPRE PERIGORD,POUR QUE VIVE LE JAZZ EN PERIGORD !,/associations/jazz-pourpre-perigord,https://cdn.helloasso.com/img/logos/jazz-pourpre-perigord-0da80a6459c94af49b774284018f0faf.jpg,https://cdn.helloasso.com/img/photos/130837-74e870dd6b8246a6a8bd402138995567.JPG,Bergerac,24100,Dordogne,Nouvelle-Aquitaine,38bis Rue Fustel de Coulanges,44.863098,0.472807,Association1901Rig,Arts | Culture | Jazz | Arts et Culture | Musique,,2,"Event, Membership",1515970800,1774967641,110,,jazzpourpre@jazzpourpre.com,06 02 64 79 27
