objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
60117,ONG TAMOUNTE,"ONG de développement et de solidarité. Nous créons de périmètres irrigués pour offrir des lopins à des familles en détresse. Nous développons des écosystèmes complets Potager en agroécologie, forage, formations. www.ongtamounte.org",/associations/ong-tamounte,https://cdn.helloasso.com/img/logos/croppedimage-bb1f8365775041489b30d41f1645201e.png,https://cdn.helloasso.com/img/photos/croppedimage-6d039b380a5e430d98f5104e17cd01d4.png,Saze,30650,Gard,Occitanie,4 Impasse du Clos du Temple,43.946049,4.682376,Association1901,Caritatif | Formation | Humanitaire | Solidarité | Solidarité et Action Sociale,Podcasthon,4,"CrowdFunding, Donation, PaymentForm",1488927600,1774882914,110,Ouisub,valeriepsrt@gmail.com,0628109099
55343,Association Comité de Préfiguration d'Etika Mondo,"Afin de voir émerger la civilisation écologique dans la paix, Etika Mondo expérimente des modes de vie dans notre écolieu Organique, conduit des programmes de recherche, propose des stages et organise des CEMs - Chantiers Ecologiques Massifs en aide aux agriculteurs en difficulté et en transition. ",/associations/association-comite-de-prefiguration-d-etika-mondo,https://cdn.helloasso.com/img/logos/croppedimage-a984b3dc86014aacbc6d3a3c4030dd85.png,https://cdn.helloasso.com/img/photos/croppedimage-40f5ef783bf4432bb91cea6e1f095e85.png,Le Vigan,30120,Gard,Occitanie,Ecolieu du Hameau de Gaujac,44.00108,3.603281,Association1901,Ecologie et Environnement | Environnement | Recherche | Écologie,,10,"Shop, Donation, Membership",1478732400,1774992857,110,,dringdring@etikamondo.com,
467438,VTTCOURGETTE ,27 AVRIL 2025- depart libre 7h30 - 9h30  3ere edition RANDURO COURGETTE  34km - 1200m D+ / 6SP’s  26km - 800m D+ / 4SP’s  ouvert aux VAE  Ravito + sandwich / bière bio  place limitées  pré-inscription info@vttcourgette.com  Facebook VTT courgette sur place piste DH & pumptrack,/associations/vttcourgette,https://cdn.helloasso.com/img/logos/croppedimage-d17e952e53c54f9189ead6a77fdccd0b.png,https://cdn.helloasso.com/img/photos/croppedimage-aa7488551b5c4d2ca6349b3fc9807298.png,Saint-Florent-sur-Auzonnet,30960,Gard,Occitanie,198 Chemin le Gabourdes ,44.23818,4.11036,Association1901Rig,VTT | Sport,,1,Event,1705705200,1774989027,110,,info@vttcourgette.com,0649585650
659263,STADE UCHAUDOIS ASSOCIATIF RUGBY CLUB,"Bienvenue sur la plateforme d’adhésion des Dragons !  Rejoignez un club où respect, solidarité, convivialité et engagement guident chaque action. Votre adhésion fait vivre notre projet et notre territoire. Merci d’être avec nous !",/associations/stade-uchaudois-associatif-rugby-club,https://cdn.helloasso.com/img/logos/croppedimage-b5b68dbc550648d9878c1da790b35392.png,https://cdn.helloasso.com/img/photos/croppedimage-9a51bbf5393540fbb867e61ec90d5652.png,Uchaud,30620,Gard,Occitanie,"138, avenue Robert de Joly,",43.755499,4.266548,Association1901,,,1,Donation,1774652400,,110,,,
224404,LES RENCONTRES D'AUBERGINE,"Les Rencontres d'Aubergine, un festival d'art contemporain ouvert à tous les publics, un parcours dans la ville, et dans la vie. L'association du même nom oeuvre toute l'année pour organiser l'évènement.",/associations/les-rencontres-d-aubergine,https://cdn.helloasso.com/img/logos/croppedimage-406572170dfb4f0dbb022e15d3ced344.png,https://cdn.helloasso.com/img/photos/croppedimage-7a8671dd1402418d8923ed4295ebfd81.png,Villeneuve-lès-Avignon,30400,Gard,Occitanie,Villeneuve-lès-Avignon,43.995336,4.815696,Association1901,Arts et Culture | Arts | Culture,,3,"Event, Membership",1602453600,1774955933,110,,lesrencontresdaubergine@gmail.com,0609720797
113644,Le Spot,"L’association Le Spot a ete cree le 26 novembre 2013, afin de gerer efficacement, de maniere associative et collaborative les differentes activites inherentes au lieu. En janvier 2019, la Société Coopérative Les Spots a été créée et vient cogérer une partie des activités.",/associations/le-spot,https://cdn.helloasso.com/img/logos/croppedimage-652d5ef7cc684f2fb06f0c6681ffa39a.png,https://cdn.helloasso.com/img/photos/croppedimage-58cb87a3eab54f26bf1d458f5d0581a6.jpg,Nîmes,30000,Gard,Occitanie,8 rue Enclos Rey,43.84103,4.363067,Association1901Rig,Arts | Culture | Arts et Culture,Don,4,"Shop, Event, PaymentForm, Membership",1536530400,1773861822,110,OHME,lespotlasso@gmail.com,0466368564
347432,FACE GARD,"L’engagement sociétal des entreprises du Gard  FACE Gard est un club d’entreprises gardoises créé en 2009 à l’initiative d’un club d’entrepreneurs gardois et du Conseil Départemental. Depuis 2020, notre association est reconnue d’intérêt général.",/associations/face-gard,https://cdn.helloasso.com/img/logos/croppedimage-b74f47ca2c84497296d424824f3c96a5.png,https://cdn.helloasso.com/img/photos/croppedimage-80c8f15dbb9b448ebe3e770231b67d12.png,Nîmes,30900,Gard,Occitanie,32 Rue Robert Mallet Stevens,43.812905,4.348725,Association1901,Formation | Education,,4,"Event, Membership",1664661600,1772122951,110,,d.leroux@fondationface.org,0761757985
656565,Association Théâtre du Miroir,"La compagnie « le théâtre du Miroir » a vu le jour en 1988 à Nîmes. Une recherche sur l’humour a guidé les travaux et les créations de la compagnie. L'association organise depuis 1995 un festival d'humour ""Rires en scène"", il se déroule tous les mois de juin au Théâtre le Périscope à Nîmes. ",/associations/association-theatre-du-miroir,https://cdn.helloasso.com/img/logos/croppedimage-e11bb698f352490bb49bcc52cf460d0b.png,https://cdn.helloasso.com/img/photos/croppedimage-69152d3865cb4f7fb1e2b06a18814171.png,Nîmes,30000,Gard,Occitanie,462 Chemin de Font Verague,43.868696,4.390318,Association1901,,,1,Event,1773702000,,110,,,
463567,BOUCAN,"Association de lutte contre les violences sexistes et sexuelles, l'inceste et les inégalité de genre. Boucan s’inscrit dans une perspective féministe, inclusive et d’éducation populaire. ",/associations/boucan,https://cdn.helloasso.com/img/logos/croppedimage-96c15dcba7cc457db237678be5ff8023.png,https://cdn.helloasso.com/img/photos/croppedimage-1be6ede3ba7e46eca3fe455a1a20dde0.png,Alès,30100,Gard,Occitanie,10 Chemin de Russaud,44.129782,4.065921,Association1901Rig,Education | Formation | Féminisme,,2,"CrowdFunding, Membership",1704668400,1774961600,110,,,
186216,Airsoft Lunel Team,"Association d'airsoft basée à Lunel dans l'Hérault, et comptant une 100aine d'adhérents. Nos valeurs sont passion, fairplay, et bonne humeur.  Rejoignez nous sur le terrain !!",/associations/airsoft-lunel-team,https://cdn.helloasso.com/img/logos/croppedimage-036e320ae01b401fadd1fc29e07cdd60.png,https://cdn.helloasso.com/img/photos/croppedimage-f8f2a31bae674966bc9f3a12fba4f01e.png,Saint-Laurent-d’Aigouze,30220,Gard,Occitanie,299 Avenue du General Trouchaud,43.629798,4.191321,Association1901,Airsoft | Sport,,1,Event,1578697200,1774981584,110,,airsoftlunelteam@outlook.fr,0778685660
