objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
561555,L'Auto Vintage ,"Rassembler les passionnés de véhicules anciens, préserver et valoriser le savoir-faire de la mécanique d'autrefois. Favoriser les rencontres entre amateurs, participer aux événements locaux, organiser des repas inter-associations et diverses manifestations dans le respect de la législation.",/associations/l-auto-vintage,https://cdn.helloasso.com/img/logos/croppedimage-c5f1a0e0ef7b4a0c8505bde5272e6e0f.png,https://cdn.helloasso.com/img/photos/croppedimage-5f4faea4173c45e59251dfcbff5ccd08.png,Hirtzbach,68118,Haut-Rhin,Grand Est,70 Rue Principale,47.596002,7.221178,Association1901,Loisirs,,1,Event,1736550000,1775070460,110,, didiservices.sundgau@free.fr,+33 7 66 75 53 50
371133,Association de la fête du cochon,"""L'association pour la fête du cochon a pour objet l'organisation, le devenir et la promotion de la Fête du cochon à UNGERSHEIM (68190), via des évènements culturels, gastronomiques et festifs. L'évènement majeur a lieu durant les 2 semaines qui encadrent le jeudi de l'ascension de chaque année""",/associations/association-de-la-fete-du-cochon,https://cdn.helloasso.com/img/logos/croppedimage-fae33c09ee724545bbc8185c2ee3c718.png,https://cdn.helloasso.com/img/photos/croppedimage-d0cca8c0a1584bc09c31aaa0fd1674fd.png,Ungersheim,68190,Haut-Rhin,Grand Est,1 Place de la Mairie,47.877868,7.304028,Association1901,Culture | Fête | Artisanat et Cuisine,,1,Event,1674428400,1775055293,110,,lafeteducochon68190@gmail.com,
651916,Les Amis de la Filature de Mulhouse,"L'Association a pour objet de contribuer au rayonnement de La Filature de Mulhouse, de créer des liens entre spectateurs et professionnels de La Filature et du monde du spectacle, de faire partager les enjeux de la culture d'aujourd'hui.",/associations/les-amis-de-la-filature-de-mulhouse,https://cdn.helloasso.com/img/logos/croppedimage-3dff051d4ce8496184fc98cce12edac0.png,https://cdn.helloasso.com/img/photos/croppedimage-022e389d31d64d2da597a4b06dc45bae.jpg,Mulhouse,68100,Haut-Rhin,Grand Est,20 Allée Nathan Katz,47.753793,7.349103,Association1901,Arts | Culture | Professionnels | Arts et Culture,,4,"Event, Membership",1772060400,1775063533,110,,lesamisdelafilature@gmail.com,
134103,ASCMR Canoë-Kayak,"Le canoë, le kayak et le Stand-Up paddle, du loisir à la compétition Le Sport au naturel",/associations/ascmr-canoe-kayak,https://cdn.helloasso.com/img/logos/ascmr canoe kayak-72368c4b256c46cfb7ee6313c3f51d3f.png,https://cdn.helloasso.com/img/photos/sb-canoekayaksept2018--06-94d65f06321d4b638107cbd9ee6bc454.jpg,Riedisheim,68400,Haut-Rhin,Grand Est,19 Rue de Modenheim,47.755229,7.366052,Association1901Rig,Sport | Paddle,Don,8,"Donation, Shop, Event, PaymentForm, Membership",1554415200,1774972146,110,,communication-ckmr68@outlook.fr,0389440670
385476,Les Impros Locos,"Dans une ambiance décalée, surprenante et improvisée, le leitmotiv de la troupe est de livrer ses plus belles histoires sur scènes. Depuis plus de 15 ans, les Nains sortent de leur grotte pour partager leur univers lors de divers événements de théâtre : matchs d’improvisation, catch, cabarets...",/associations/les-impros-locos,https://cdn.helloasso.com/img/logos/croppedimage-885a609a9bde4bfba9a15d369ce5e76b.png,https://cdn.helloasso.com/img/photos/croppedimage-1724a1fda34d4d2bacd6f5c97e6b8ddf.png,Wittelsheim,68310,Haut-Rhin,Grand Est,111 rue de Reiningue,47.792787,7.229817,Association1901,Arts | Culture | Improvisation | Théâtre | Arts et Culture,,1,Event,1678921200,1775061648,110,,nainsprovisateurs@gmail.com,0625912847
410017,CERCLE SPORTIF SAINT LOUIS - HANDBALL ,Association sportive où nous proposons du Handball pour toutes les catégories du Babyhand au séniors pour les Femmes et les Hommes !  Nous avons également une équipe loisir.  Nous proposons aussi du Handfit (sport santé).  ,/associations/cercle-sportif-saint-louis-handball,https://cdn.helloasso.com/img/logos/croppedimage-b7d7fc48f19348539ccdfa6abcf18b1d.jpg,https://cdn.helloasso.com/img/photos/croppedimage-bf79e19231d04bce97f369252a0626dd.png,Village-Neuf,68128,Haut-Rhin,Grand Est,21a Rue du Soleil,47.603278,7.575597,Association1901Rig,Sport | Handball,,2,"Event, Donation",1686520800,1775067483,110,FFHB,b.caudouxslh@outlook.fr,0672428299
212948,Les 7 Nains font du Airsoft,Equipe d'airsoft depuis 2008,/associations/les-7-nains-font-du-airsoft,https://cdn.helloasso.com/img/logos/les 7 nains font du airsoft-b7c2ad916bf74bf8bcc4976b62ab8eb3.png,https://cdn.helloasso.com/img/photos/croppedimage-8e449cd3cd0f485bac2eab8fb70b7977.jpg,Muespach,68640,Haut-Rhin,Grand Est,35 Rue du 1er Septembre,47.547451,7.379785,Association1901,Sport | Airsoft,,2,Event,1595023200,1774651574,110,,asso7n@gmail.com,
248908,Dans les rêves de Morphée ,"Bienvenue dans les rêves de Morphée ! Par chez nous, on a des projets plein la tête, et une motivation débordante !! Nature, écologie, Animaux, créativité, biodiversité.. sont autant de sujets qui nous tiennent à cœur, et dont nous nous emparons à bras le corps et le cœur !!",/associations/dans-les-reves-de-morphee,https://cdn.helloasso.com/img/logos/croppedimage-ca84724fa1af4146bc4d16badf1bb469.png,https://cdn.helloasso.com/img/photos/croppedimage-d5b324cc4887422888baf3cfec1695de.png,Murbach,68530,Haut-Rhin,Grand Est,Murbach,47.922613,7.151501,Association1908Rig,Animaux | Biodiversité | Environnement | Écologie | Ecologie et Environnement,,8,"Donation, Membership",1614639600,1774263509,110,,,
310008,Balance Ton Son,"Balance Ton Son, c’est une asso engagée, éco-responsable, qui mêle musique, gastronomie locale et convivialité. Festival, concerts en pleine nature, projets citoyens… On fait bouger la Vallée Noble avec le cœur et les copains !",/associations/balance-ton-son,https://cdn.helloasso.com/img/logos/croppedimage-e5cc10718cb24d968e652173c0c9fc0e.png,https://cdn.helloasso.com/img/photos/croppedimage-210f3e0873a4411cb950f09ced6c4b4c.png,Soultzmatt,68570,Haut-Rhin,Grand Est,Rue des Vosges Wintzfelden,47.9765,7.193736,Association1908Rig,Arts | Culture | Gastronomie | Musique,,4,"Donation, PaymentForm, Membership",1646694000,1774807928,110,,contact@balancetonson.alsace,
248682,Sourire Ensemble Mulhouse,"Créée en 2005, l'association organise, en faveur des enfants suivis par le service pédiatrique du GHR de Mulhouse, des sorties ludiques , culturelles, natures, sportives  (parcs de loisirs, concerts, mur d'escalade , chiens de traineaux ,expositions , séjours  découverte ",/associations/sourire-ensemble-mulhouse,https://cdn.helloasso.com/img/logos/croppedimage-ffb61aef0045484d83292ad515eeaf25.png,https://cdn.helloasso.com/img/photos/croppedimage-b6f52fe28f3c480998d6e5b41c67a9c2.png,Mulhouse,68200,Haut-Rhin,Grand Est,100  Avenue de Colmar ,47.756287,7.336421,Association1901,Chiens | Culture | Enfance | Escalade | Humanitaire | Solidarité | Loisirs,,3,"CrowdFunding, Event, Donation",1614553200,1774729678,110,,,
259854,Basket Club Berrwiller Staffelfelden,"Bienvenue au BCBS, 1er club de basket féminin dans le Grand Est, basé dans le Haut-Rhin.",/associations/basket-club-berrwiller-staffelfelden,https://cdn.helloasso.com/img/logos/croppedimage-601ad5bf357440f0924d07b953e6a665.png,https://cdn.helloasso.com/img/photos/croppedimage-6184cc2f165f4c6189ada253ad9326ee.png,Berrwiller,68500,Haut-Rhin,Grand Est,Rue de Hartmannswiller,47.852264,7.220146,Association1901,Sport | Basketball,,4,"Event, Membership",1620424800,1774965001,110,FFBB,bcbs.jeremy@gmail.com,
329472,MULHOUSE PFASTATT BASKET ASSOCIATION,Club formateur de basket-ball Masculin.,/associations/mulhouse-pfastatt-basket-association,https://cdn.helloasso.com/img/logos/croppedimage-bbe477a3607c44c8b457d99f6cc62dad.png,https://cdn.helloasso.com/img/photos/croppedimage-8d3c3cd1b94944d4a69221d6dcaa8c82.png,Pfastatt,68120,Haut-Rhin,Grand Est,26 Rue de Kingersheim,47.773568,7.309942,Association1901Rup,Sport | Basketball | Formation,,4,"CrowdFunding, Event",1655244000,1774901143,110,FFBB,mulhousepfastattbasket@hotmail.com,0688383037
505344,STREET ART'STYL,"DARE TO DANCE présente HERO, sa NOUVELLE COMÉDIE MUSICALE. Après le succès de King Of Africa et La Caverne Aux Merveilles, nous revenons avec notre nouveau spectacle HERO ""la légende d'Hercule"". Ce spectacle, accessible à tous, mêle danses, théâtre et acrobaties. Réservez vos places dès maintenant !",/associations/street-art-styl,https://cdn.helloasso.com/img/logos/croppedimage-0678137cbc55411eb11cfa1e18a0a708.png,https://cdn.helloasso.com/img/photos/croppedimage-df671729477f4ffa900ff62e87139637.png,Mulhouse,68200,Haut-Rhin,Grand Est,30 Rue des Imprimeurs,47.753023,7.33262,Association1901,Arts et Culture | Arts | Culture | Danse | Théâtre,,5,Event,1715637600,1760785961,110,,,
