objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
520242,Team Motorbike Racing Limoges,"TEAM MRL est une association dédiée aux passionnés de moto, offrant des opportunités de pilotage sur piste. Nous organisons des journées de roulage, et visons la participation au championnat CLNA. Rejoignez-nous et partagez l'adrénaline de la course !  ",/associations/team-motorbike-racing-limoges,https://cdn.helloasso.com/img/logos/croppedimage-f814d79c73534e1487c654e2c7da3e64.png,https://cdn.helloasso.com/img/photos/croppedimage-0ea2c711345648858b7a0dfa98fa1aa9.png,La Meyze,87800,Haute-Vienne,Nouvelle-Aquitaine,6 Rue des Platanes,45.615349,1.214799,Association1901Rig,Sport | Moto,,5,"Shop, Event, Donation",1721080800,1774811550,110,,team.motorbike.racing.limoges@gmail.com,0675644670
317976,Ukraïnka,"L'association UKRAÏNKA est une association de loi 1901 créé en mars 2022.  Le but de notre association est de réunir les ukrainiens sur notre territoire, partager la culture ukrainienne et aider nos compatriotes en Ukraine. Nous collectons l'aide humanitaire et organisons des projets caritatifs.",/associations/ukrainka,https://cdn.helloasso.com/img/logos/croppedimage-e2f5ef37c6cd46da94b5ddb5bc8bf9fe.png,https://cdn.helloasso.com/img/photos/croppedimage-fcc101644ff14d078877f03acc033cae.png,Limoges,87100,Haute-Vienne,Nouvelle-Aquitaine,119 Avenue Général Leclerc,45.846831,1.260966,Association1901,Solidarité et Action Sociale | Caritatif | Culture | Humanitaire,Solidarité Ukraine | Sudouest,4,"CrowdFunding, Membership",1650492000,1774985208,110,,familledaccueil.limoges@gmail.com,07 56 99 44 70
427681,amicale des personnels de leonard limosin,"L’Amicale des personnels de la Cité Scolaire Léonard Limosin (plus connu sous le nom de ""L'Amicale"") a pour objectif de rassembler et de fédérer tous les personnels de la cité scolaire .",/associations/amicale-des-personnels-de-leonard-limosin,https://cdn.helloasso.com/img/logos/croppedimage-a13bb4d1e75d4abd9e2c584b73e82cfb.png,https://cdn.helloasso.com/img/photos/croppedimage-01130523561f479ba7a16921f563701e.png,Limoges,87000,Haute-Vienne,Nouvelle-Aquitaine,13 rue des Clairettes,45.82957,1.254235,Association1901,Étudiants | Education,,3,"Shop, Membership",1693605600,1774973581,110,,,
209083,JA Isle Rugby,Club de rugby situé en Haute-Vienne,/associations/ja-isle-rugby,https://cdn.helloasso.com/img/logos/croppedimage-6efb42a1fa8246a6a787c8fe587d29cd.png,https://cdn.helloasso.com/img/photos/croppedimage-80ab56f6599243d9b4018eed6e0f9c01.png,Isle,87170,Haute-Vienne,Nouvelle-Aquitaine,Rue du 8 mai 1945,45.8027,1.2121,Association1901Rup,Sport | Rugby,,1,Shop,1592517600,1774972540,110,,contact@jaisle-rugby.fr,05 55 50 23 93
530258,US Bessines Handball 87,"Club de handball amateur, regroupant les catégories allant du baby (3 ans) aux séniors (17+ ans), en passant par toutes les équipes jeunes et le loisirs (hors compétition officielle).",/associations/us-bessines-handball-87,https://cdn.helloasso.com/img/logos/croppedimage-9e134b5d56094296beaf84e136f2fc20.jpg,https://cdn.helloasso.com/img/photos/croppedimage-4b3618857b5245c3818c8e178ac0117f.png,Bessines-sur-Gartempe,87250,Haute-Vienne,Nouvelle-Aquitaine,1 Place de la Liberté,46.109014,1.368669,Association1901,Sport | Handball,,3,"Shop, Event",1725487200,1774956330,110,FFHB,usbessineshandball87@gmail.com,0616447129
164933,La compagnie Une Heure Avant,Une Heure Avant est une compagnie théâtrale professionnelle basée à Limoges.  Restez informé de notre actualité avec https://uneheureavant.fr,/associations/la-compagnie-une-heure-avant,https://cdn.helloasso.com/img/logos/croppedimage-ce1de16763664e28be40efb228ac557c.png,https://cdn.helloasso.com/img/photos/croppedimage-6da47bea743a4c82a3b74187b5010d40.png,Limoges,87100,Haute-Vienne,Nouvelle-Aquitaine,9 Rue des Arts,45.835793,1.249296,Association1901,Arts | Culture | Théâtre | Arts et Culture,Sudouest,3,"Event, Membership",1567548000,1774252388,110,Infolocale,,
504889,Fédération de la Haute-Vienne pour la Pêche et la Protection du Milieu Aquatique,"La Fédération de la Haute-Vienne pour la Pêche et la Protection du Milieu Aquatique, association loi 1901, est chargée de missions d'intérêt général : protection des milieux aquatiques, développement de la pêche de loisir et éducation à l’environnement.",/associations/federation-de-la-haute-vienne-pour-la-peche-et-la-protection-du-milieu-aquatique,https://cdn.helloasso.com/img/logos/croppedimage-ac1703c150b548c7ade5932046dd3e76.png,https://cdn.helloasso.com/img/photos/croppedimage-ede8181c005744009af75a8048dbabc9.png,Limoges,87000,Haute-Vienne,Nouvelle-Aquitaine,31 rue Jules Noël,45.815522,1.290066,Association1901,Environnement | Pêche | Ecologie et Environnement,Sudouest,25,Event,1715551200,1774935569,110,,contact@federation-peche87.com,0555063477
329519,SPORTING BASKET MARTELLOIS,club de basket,/associations/sporting-basket-martellois,https://cdn.helloasso.com/img/logos/croppedimage-d5a8c55a11b340beb00536b89220673c.png,https://cdn.helloasso.com/img/photos/croppedimage-9b21a608736d4e509bd7850ffd9b2a1a.png,Saint-Just-le-Martel,87590,Haute-Vienne,Nouvelle-Aquitaine,Rue de la Mairie,45.862894,1.385796,Association1901Rig,Sport | Basketball,,3,"Event, Donation, Membership",1655330400,1774960170,110,FFBB | Team Pulse,sporting.basketmartellois@gmail.com,0681836953
557373,Indian Motorcycle Riders Group Limoges,"L'IMRG Limoges est un club dédié aux passionnés de la marque INDIAN. Ses membres, véritables ambassadeurs de cette légende, se rassemblent régulièrement pour partager des moments conviviaux et échanger autour de leur passion commune pour les motos INDIAN.",/associations/indian-motorcycle-riders-group-limoges,https://cdn.helloasso.com/img/logos/croppedimage-c7b9b5704a6444dfbb02759e9f765000.png,https://cdn.helloasso.com/img/photos/croppedimage-ee1594a90b574d4cab518ee99be011de.png,Limoges,87280,Haute-Vienne,Nouvelle-Aquitaine,9 rue Pierre de Fermat,45.890098,1.277424,Association1901,Moto | Loisirs,,3,"Shop, Donation, Membership",1734476400,1774983153,110,,imrglimoges@gmail.com,
69881,CSM Limoges,Cadets et Cadettes de Saint Michel - Limoges - Club de Gymnastique Artistique Mixte,/associations/csm-limoges,https://cdn.helloasso.com/img/logos/croppedimage-56f81f7a578b47a5b5b4c2e964bd73b6.png,https://cdn.helloasso.com/img/photos/croppedimage-1b70f0a5c8e64559ab4575382e90639d.png,Limoges,87000,Haute-Vienne,Nouvelle-Aquitaine,14 Rue Ventenat,45.825338,1.251751,Association1901Rup,Arts | Gymnastique | Sport,Don,3,"Shop, Membership",1508191200,1774900786,110,Team Pulse,csm.limoges@gmail.com,0687140274
