objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
345699,Cercle des élèves du département génie thermique et énergie de l'IUT 1,BDE qui à pour BUT de rassembler tout nos étudiant,/associations/cercle-des-eleves-du-departement-genie-thermique-et-energie-de-l-iut-1,https://cdn.helloasso.com/img/logos/croppedimage-7eba3f80d2a04b17a3e863c63edc3b74.png,https://cdn.helloasso.com/img/photos/croppedimage-68bc31ec38964b39bfd725856d0525fc.png,Grenoble,38000,Isère,Auvergne-Rhône-Alpes,41 Boulevard Gambetta,45.184947,5.725537,Association1901,BDE | Étudiants | Réseaux pros et étudiants,,2,Event,1663970400,1774981604,110,Vibly,bdegtegrenoble20@gmail.com,
485172,Association des Jeunes de Sermerieu,"On aime faire la fête, organiser les évènements dans la joie et la bonne humeur ! Et boire !",/associations/association-des-jeunes-de-sermerieu,https://cdn.helloasso.com/img/logos/croppedimage-c0e2c9dabffa4866b9d9d694fd4b1d86.png,https://cdn.helloasso.com/img/photos/croppedimage-590fc9d36f4c4527ae6263255a95e95e.png,Sermérieu,38510,Isère,Auvergne-Rhône-Alpes,50 Place de la Mairie,45.671439,5.408552,Association1901,Fête | Loisirs,,1,Event,1710284400,1774982747,110,,conscritsermerieu2223@gmail.com,0772559753
567544,GENERATION MOUNTAIN BIKE,Parce qu’il n’y a pas de sport majeur sans histoire ! Génération Mountain Bike est une association reconnue d'utilité publique. Elle participe à préserver le patrimoine matériel et immatériel de notre sport. Elle est un lien entre toutes les personnalités de la folle épopée du VTT en France. ,/associations/generation-mountain-bike,https://cdn.helloasso.com/img/logos/croppedimage-3b4c8d741159462f90d638b68b828082.png,https://cdn.helloasso.com/img/photos/croppedimage-a2263c3d32e1460db16a857f185edca3.png,Grenoble,38000,Isère,Auvergne-Rhône-Alpes,"Bureau 215 - Maison du Tourisme, 14, rue de la République,",45.190343,5.730121,Association1901,VTT | Sport | Patrimoine,,2,"Event, Donation",1738450800,1774868287,110,,contact@generationmountainbike.com,
296696,VARCES VOLLEY,VARCES VOLLEY est une association sportive de Volley en compétition et en loisirs pour adultes.,/associations/varces-volley,https://cdn.helloasso.com/img/logos/croppedimage-2ed7553e3b8d4d15a0971ffc2c2a354a.png,https://cdn.helloasso.com/img/photos/croppedimage-4104479d28a14d949fbc1df7210d6833.png,Miribel-Lanchâtre,38450,Isère,Auvergne-Rhône-Alpes,Cassoulet,44.982921,5.623476,Association1901,Sport | Volley-ball,,4,"Event, Membership",1639609200,1774974312,110,,varcesvolley38@gmail.com,0650339254
320659,BASKET CLUB LA TRONCHE MEYLAN - BCTM,"Association de basket-ball féminin. De 3 à 102 ans, le BCTM accueil petits et grands pour la pratique du basket-ball sous toute ses formes jusqu'au basket professionnel avec son équipe de Ligue Féminine 2.",/associations/basket-club-la-tronche-meylan-bctm,https://cdn.helloasso.com/img/logos/croppedimage-3dfd28d3e3fc468c948dd7992cbc3bd1.png,https://cdn.helloasso.com/img/photos/croppedimage-33e59d8bd153433eaef1eba73f8a8932.png,Meylan,38240,Isère,Auvergne-Rhône-Alpes,15 Chemin du Vieux Chêne,45.206698,5.785912,Association1901,Sport | Basketball | Professionnels,,3,"Shop, Event",1651701600,1774979337,110,FFBB,bctm.feminin@gmail.com,0476181607
372128,Association de soutien à l'école maternelle intercommunale de Monsteroux Milieu,,/associations/association-de-soutien-a-l-ecole-maternelle-intercommunale-de-monsteroux-milieu,https://cdn.helloasso.com/img/logos/croppedimage-89aa6753ea4a4c7b9d2dc6a38cd6ae92.png,https://cdn.helloasso.com/img/photos/croppedimage-5603680756fc436390c4940f760792f9.png,Monsteroux-Milieu,38122,Isère,Auvergne-Rhône-Alpes,Place des Ecoles,45.431939,4.938115,Association1901,Culture | Humanitaire | Solidarité | Education,,3,"Shop, Membership",1674774000,1774867977,110,,soumat.ecolegontard@gmail.com,
268978,Association des parents d'élèves de Saint-Nazaire Les Eymes ,Association de parents d'élèves des écoles de Saint Nazaire les Eymes,/associations/association-des-parents-d-eleves-de-saint-nazaire-les-eymes,https://cdn.helloasso.com/img/logos/croppedimage-91c605c14b354ec59795dc0821c11950.png,https://cdn.helloasso.com/img/photos/croppedimage-1ecdcdf7f1c142c1844ca8cfc72befd7.png,Saint-Nazaire-les-Eymes,38330,Isère,Auvergne-Rhône-Alpes,Saint-Nazaire-les-Eymes,45.258065,5.849093,Association1901,Education | Formation | Parents d'élèves,,3,Shop,1623189600,1774471274,110,,,
612926,FLYING BUTTERFLY,"Bienvenue au Flying Butterfly Studio  Un lieu pour bouger, progresser, se dépasser… mais aussi pour partager, rire et s’encourager ensemble.  Que vous soyez débutant·e curieux·se ou passionné·e confirmé·e, vous avez votre e ici pour briller   On a hâte de vous retrouver sur les barres !",/associations/flying-butterfly,https://cdn.helloasso.com/img/logos/croppedimage-53676c5c531e48ed8093505121ed341a.png,https://cdn.helloasso.com/img/photos/croppedimage-100d180dec6642a8acbeccdca49dd246.jpg,Le Péage-de-Roussillon,38550,Isère,Auvergne-Rhône-Alpes,18 place Paul Morand,45.373568,4.797003,Association1901,Loisirs,,4,Event,1757541600,1774953897,110,,contact@flyingbutterflystudio.com,
654855,GÉNÉRATION RONRONS,"Génération Ronrons est une association dédiée au sauvetage, à la protection et au bien-être des chats. Adoptions responsables, bienveillance et pédagogie sont au cœur de notre mission. Ensemble, offrons leur une seconde chance. ",/associations/generation-ronrons,https://cdn.helloasso.com/img/logos/croppedimage-66aaae9bf6994bbc90e6f2b2518f30ac.png,https://cdn.helloasso.com/img/photos/croppedimage-3c9ddcd6d9b84bc9bf82308444a3f146.png,Saint-Chef,38890,Isère,Auvergne-Rhône-Alpes,1835 route de Versin,45.641607,5.338828,Association1901Rig,,,2,"Shop, Donation",1773097200,1774961291,110,,,
234688,Yoga Intégral France,Yoga Intégral France,/associations/yoga-integral-france,https://cdn.helloasso.com/img/logos/croppedimage-35588c5398c246d0aefa4eaeae053194.png,https://cdn.helloasso.com/img/photos/croppedimage-3a52d8051ca44357b2f3fcff40b60bd6.png,Grenoble,38100,Isère,Auvergne-Rhône-Alpes,15 Cours de la Libération et du Général de Gaulle,45.178655,5.716256,Association1901,Bien-être | Religion,,54,Event,1607382000,1774976258,110,,retraite.sr@gmail.com,0769467780
