objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
290057,CAHORS CYCLISME,"Activités du cyclisme, FFC , FFV , UFOLEP , FSGT , pluridisciplinaire.",/associations/cahors-cyclisme,https://cdn.helloasso.com/img/logos/croppedimage-e51316be354244ba9343fc992bed4f68.png,https://cdn.helloasso.com/img/photos/croppedimage-b91eb3e0cba04cf48bff7657c5078048.png,Cahors,46000,Lot,Occitanie,Salle des fêtes de Bégoux,44.465656,1.472055,Association1901,Cyclisme | Sport,,3,"Event, Membership",1635894000,1774977421,110,,cahors.cyclisme@gmail.com,0674561166
471242,LA DRAILLE 46,"La Draille, collectif d’artisans et d'éleveurs , valorise la laine locale à travers ateliers, formations et événements. En adhérant, vous soutenez une filière durable, accédez à des activités exclusives et rejoignez un réseau d’entraide.  Rejoignez-nous et redonnez à la laine sa place d’honneur !",/associations/la-draille-46,https://cdn.helloasso.com/img/logos/croppedimage-d49619017b43436d835778a69800ba6e.png,https://cdn.helloasso.com/img/photos/croppedimage-7a32525d19bf4808925777fc1a0aa56d.png,Figeac,46100,Lot,Occitanie,4 rue ortabadial,44.607765,2.03334,Association1901,Artisanat | Formation | Humanitaire | Solidarité | Solidarité et Action Sociale,,6,"Event, Donation",1706742000,1756456485,110,BasicCompta,la.dralha.boutique@gmail.com,0637083833
497198,Cahors Natation ,"Fondé en 1987, le club Cahors Natation est une association qui accueille plus de 300 adhérents dans les différentes sections. Tous les âges peuvent trouver une pratique répondant à leurs besoins et leurs envies.",/associations/cahors-natation,https://cdn.helloasso.com/img/logos/croppedimage-9936dfdc425343c38d0c4467b8235b58.png,https://cdn.helloasso.com/img/photos/croppedimage-3a5c574b0fb44657905bb9ed4856b4f7.png,Cahors,46000,Lot,Occitanie,150 Rue de la Guinguette,44.456128,1.445759,Association1901,Sport | Natation,,4,Shop,1712872800,1774980382,110,,secretariat@cahorsnatation.fr,0659986909
395162,Stecy Cheer,"Club de Cheerleading dans le Lot. C'est un sport d'équipe mixte multidisciplinaire, accessible dès 2 ans, qui mélange des portés acrobatiques, de la gymnastique, de la danse et des sauts. L'équipe affiliée Ufolep, s'entraîne à Saint-Céré. ",/associations/stecy-cheer,https://cdn.helloasso.com/img/logos/croppedimage-b4542dcdad974c08971a6ad71150c7fa.png,https://cdn.helloasso.com/img/photos/croppedimage-8f3ef75f5fa54a5c95ed5f8ade2ed908.png,Saint-Céré,46400,Lot,Occitanie,Quai Auguste Salesses,44.85837259040861,1.897557497430977,Association1901,Sport | Danse | Gymnastique,,6,"Shop, Event, Membership",1681941600,1774953439,110,,Stecy.Cheer@Gmail.Com,0788731080
238894,Association La Belette,Association de protection de la nature,/associations/association-la-belette,https://cdn.helloasso.com/img/logos/association la belette-9cc0a80f9c214fffa9f3c386cd683505.png,https://cdn.helloasso.com/img/photos/croppedimage-a9f6246de033417aa05a2bc9e7db61f3.jpg,Montcuq-en-Quercy-Blanc,46800,Lot,Occitanie,222 Chemin de Bacou,44.313628,1.150978,Association1901Rig,Ecologie et Environnement | Environnement,,3,"CrowdFunding, Donation, Membership",1609801200,1774933623,110,,cds.labelette@gmail.com,
286016,La Fabrique Francophone,"Implantée au cœur de la ville de Cahors, [la fabrique francophone] est un espace d’interstice et de métissage porté par une réelle dynamique de brassage culturel, social et générationnel afin d’inventer et de déployer de nouvelles formes pour faire humanité ensemble.",/associations/la-fabrique-francophone,https://cdn.helloasso.com/img/logos/croppedimage-a2310ad057f64e55b183525c539693f7.png,https://cdn.helloasso.com/img/photos/croppedimage-fc1608c936234db3bdf2f8150c89d5b0.png,Cahors,46000,Lot,Occitanie,Place Bessières,44.4522,1.438871,Association1901,Arts | Culture | Arts et Culture,,2,"Donation, Membership",1633644000,1774864668,110,,lafabriquefrancophone@gmail.com,0652099597
511810,La Poule aux potes,"La Poule aux Potes est un café associatif et culturel, lieu d'échange et de partage : https://www.facebook.com/lapouleauxpotes/?locale=fr_FR https://www.instagram.com/la.poule.aux.potes.cahors/",/associations/la-poule-aux-potes,https://cdn.helloasso.com/img/logos/croppedimage-148b3eb01edf4a29b6a568cd80e521b5.png,https://cdn.helloasso.com/img/photos/croppedimage-39cc8cf0aff7463b9a010941e200c6a4.png,Cahors,46000,Lot,Occitanie,68 Rue Pellegry,44.448798,1.442558,Association1901,Animaux | Arts | Culture | Arts et Culture,,1,Event,1717711200,1774790666,110,,lapouleauxpotes.asso@gmail.com,0687971501
496246,Orange et Rose,"L'association a pour vocation de promouvoir et de soutenir toutes les activités culturelles, artistiques du spectacle vivant en milieu populaire.",/associations/orange-et-rose,https://cdn.helloasso.com/img/logos/croppedimage-72494554d5984746a48bcad19175dcd2.png,https://cdn.helloasso.com/img/photos/croppedimage-e37c9ecdb9f34ad0a8fbea1c556cdbc9.png,Gourdon,46300,Lot,Occitanie,mont Saint-Jean,44.738493,1.374041,Association1901Rig,Arts | Culture | Arts et Culture,,3,"Shop, Donation, Membership",1712613600,1774882978,110,Team Pulse,,
523616,Association SENS DU COLLECTIF,"Avoir le SENS DU COLLECTIF, c’est avoir de l’écoute et de l’empathie, le sens de la solidarité et se réjouir du succès des autres.  L’idée est de Réussir ENSEMBLE ! Rejoindre l’association SENS DU COLLECTIF, c’est rejoindre des entrepreneurs, pour réseauter et échanger de bonnes pratiques.",/associations/association-sens-du-collectif,https://cdn.helloasso.com/img/logos/croppedimage-ad5461884e004a3faafe02cca412e9ae.png,https://cdn.helloasso.com/img/photos/croppedimage-1495a7d99c0c41d59aea04d78bbbbc9f.png,Milhac,46300,Lot,Occitanie,385 Route du Rouchie,44.800655,1.339614,Association1901,Solidarité | Étudiants | Solidarité et Action Sociale | Spiritualité,,3,Event,1722895200,1774424798,110,,association.sensducollectif@gmail.com,0789838458
424253,Fédération du Lot pour la pêche et la protection du milieu aquatique,La Fédération du Lot pour la pêche et la protection du milieu aquatique est une association reconnue d’utilité publique et régie par le code de l’environnement. Nous avons en charge la promotion du loisir pêche et proposons des ateliers pêche et nature.,/associations/federation-du-lot-pour-la-peche-et-la-protection-du-milieu-aquatique,https://cdn.helloasso.com/img/logos/croppedimage-4345798f063c48e7bdaea6e4c074d5ef.png,https://cdn.helloasso.com/img/photos/croppedimage-dba638eac8d84028a766280f17dd0373.png,Cahors,46000,Lot,Occitanie,133 Quai Albert Cappus,44.442224,1.433205,Association1901,Environnement | Pêche | Loisirs,,4,Event,1692309600,1762444810,110,,,
