objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
368274,association CENTRE ARTISTIQUE D'EPERNAY,"Association de danse classique, danse jazz et street jazz Cours également de Pilâtes et de gymnastique de renforcements musculaires pour adultes. Tous les professeurs de cette association sont formées et diplômées!!! ",/associations/association-centre-artistique-d-epernay,https://cdn.helloasso.com/img/logos/croppedimage-01a60e592b6b449ebf1915a0cc93a70e.png,https://cdn.helloasso.com/img/photos/croppedimage-f273c0cc9e014b3e9615e98f6fbd11f0.png,Épernay,51200,Marne,Grand Est,Parc des Loisirs Roger Menu,49.03554,3.950196,Association1901Rig,Arts | Culture | Danse | Gymnastique | Jazz | Arts et Culture,,9,"Shop, Event",1673478000,1775061826,110,,centreartistiquedepernay@gmail.com,0326523383
437524,CRO - Connards Rémois d'Odontologie,Asso pour le folklore dentaire rémois,/associations/cro-connards-remois-d-odontologie,https://cdn.helloasso.com/img/logos/croppedimage-231274a6d8dc445d99c71a8fca353397.png,https://cdn.helloasso.com/img/photos/croppedimage-c7c1baf2318d4e9cb9ee73ff916a12e3.png,Reims,51100,Marne,Grand Est,12 rue Diderot,49.253845,4.038953,Association1901,Étudiants | Réseaux pros et étudiants,,6,"Shop, Event",1696284000,1775042828,110,,,
495098,ASSOCIATION DES MAISONS DE QUARTIER DE REIMS - Maisons quartier Epinettes,"Les Maisons de quartier sont des équipements ouverts à tous : petite enfance, enfance, jeunesse, adultes et seniors, familles. Vous pouvez y pratiquer des activités socioculturelles, sportives et culturelles. Vous y trouvez des lieux de socialisation et de loisirs.",/associations/association-des-maisons-de-quartier-de-reims-maisons-quartier-epinettes,https://cdn.helloasso.com/img/logos/croppedimage-36ff745548864230b71ea723f3f1a1d5.png,https://cdn.helloasso.com/img/photos/croppedimage-9a660137962a414cbc90af5a2ea07a59.png,Reims,51100,Marne,Grand Est,18 rue Guillaume Apollinaire,49.224328,4.024293,Association1901Rig,Culture | Enfance | Humanitaire | Solidarité | Education,,11,Event,1712268000,1775044584,110,Ouisub,epinettes@maisondequartier-reims.fr,0326068690
368314,Le Corps des Juristes Champenois,"Le corps des juristes champenois a pour vocation la représentation des étudiants juristes de l'université de reims, mais plus encore des étudiants et personnels évoluants au sein du milieu universitaire français.",/associations/le-corps-des-juristes-champenois,https://cdn.helloasso.com/img/logos/croppedimage-c103405845864db0b1cf2a22ec9e81f3.png,https://cdn.helloasso.com/img/photos/croppedimage-7f115e148bf04133a401df14b828cf65.png,Reims,51100,Marne,Grand Est,57bis rue Pierre Taittinger,49.237537,4.003343,Association1901,Justice | Étudiants | Réseaux pros et étudiants | Education,,2,"Event, Membership",1673478000,1775063123,110,,sg.corpsdesjuristeschampenois@gmail.com,
116761,Papillons Blancs en Champagne,"L'association a pour ambition de défendre les droits, de garantir la qualité de vie et le bien être des personnes en situation de handicap intellectuel.",/associations/papillons-blancs-en-champagne,https://cdn.helloasso.com/img/logos/papillons blancs en champagne-d9171e2228bb44939beedb6780334af1.png,https://cdn.helloasso.com/img/photos/adobestock 114100643-d2a740bac3e2456f8b80c6ef36744e93.jpeg,Bezannes,51430,Marne,Grand Est,136 rue Georges Charpak,49.224908,4.002596,Association1901Rig,Handicap | Humanitaire | Solidarité | Solidarité et Action Sociale,Don,5,"CrowdFunding, Donation, Membership",1540159200,1775050138,110,,contact@pbchampagne.org,03 26 06 57 05
233959,Le Cerf à 3 pattes,Le Cerf à 3 pattes est une association qui anime et gère à Germaine (51) un tiers lieu rural regroupant :  - des animations socioculturelles et touristiques - une boutique de produits locaux - un bistrot rural.  ,/associations/le-cerf-a-3-pattes,https://cdn.helloasso.com/img/logos/le cerf a 3 pattes-c0130ca2629b4456a76541f50c2bd2ef.png,https://cdn.helloasso.com/img/photos/croppedimage-d6797d9eb7324666836204f975cebec6.png,Germaine,51160,Marne,Grand Est,1 Rue de Courtagnon,49.113681,4.029464,Association1901,Arts | Culture | Arts et Culture | Artisanat et Cuisine,,6,"Shop, Event, Membership",1607036400,1774990038,110,,cerfa3pattes@gmail.com,0684656003
627115,INDIAN MOTORCYCLE RIDERS GROUP REIMS,"Passionnés de deux-roues et de la marque Indian Motorcycle ? Venez vivre l’aventure avec nous !  Notre association, c’est avant tout des balades inoubliables, des événements festifs et une ambiance conviviale où la liberté et la camaraderie sont au cœur de chaque sortie.  ",/associations/indian-motorcycle-riders-group-reims,https://cdn.helloasso.com/img/logos/croppedimage-beffd3dd215d4bfdb45795f9d195ba32.png,https://cdn.helloasso.com/img/photos/croppedimage-d54491a4405f44ef8db322d42b0144a4.png,Thillois,51370,Marne,Grand Est,Rue des Ormisseaux,49.254465,3.965611,Association1901Rig,Fête | Sport,,4,"Shop, Event, Donation, Membership",1762383600,1774984149,110,,imrg.reims@gmail.com,
115438,L'école des jardiniers,L'école des jardiniers est une association crée en 2012 qui s'engage pour la transition écologique et sensibilise aux pratiques du jardinage au naturel.,/associations/l-ecole-des-jardiniers,https://cdn.helloasso.com/img/logos/croppedimage-c4696dc4f5794b7c803d80b2501350df.png,https://cdn.helloasso.com/img/photos/croppedimage-65a6cc05708d4195b78a3b7c67b5e3e1.png,Saint-Brice-Courcelles,51370,Marne,Grand Est,54 Rue Pasteur,49.257536,3.99397,Association1901Rig,Ecologie et Environnement | Environnement | Jardinage | Écologie,,4,"Event, Donation, Membership",1538690400,1774933877,110,BasicCompta,contact@lecoledesjardiniers.fr,0651835357
93312,Reims Rayonnement International,Reims Rayonnement International (RRI) est l’association de promotion des jumelages et échanges internationaux de Reims !,/associations/reims-rayonnement-international,https://cdn.helloasso.com/img/logos/reims rayonnement international-bfa9536ff8914195a40c2c717befcaf6.jpg,https://cdn.helloasso.com/img/photos/fond image rri-669bcf30b4b94453a32b8708be45c599.jpg,Reims,51100,Marne,Grand Est,122bis rue du Barbâtre,49.24671,4.041853,Association1901,Arts | Culture | Arts et Culture | Education,,25,"Event, Membership",1521327600,1775055514,110,,association.rri@gmail.com,
549296,Cultures du Coeur Champagne-Ardenne,"Cultures du Coeur Champagne-Ardenne facilite l’accès des personnes en situation de précarités économiques et/ou sociales aux activités culturelles, sportives et de loisirs en encourageant leur participation à la vie culturelle et en les accompagnant à se saisir des ressources culturelles.",/associations/cultures-du-coeur-champagne-ardenne,https://cdn.helloasso.com/img/logos/croppedimage-89027aef5d074555ad7c7e1e907dfbcf.png,https://cdn.helloasso.com/img/photos/croppedimage-613db628091344a093be7ce18d8d6082.png,Reims,51100,Marne,Grand Est,3 Rue Chanzy,49.253881,4.030672,Association1901,Arts | Culture | Arts et Culture,,2,Shop,1731452400,1774774956,110,,cdcchampagneardenne@culturesducoeur.org,0672116116
413891,CENTRE CULTUREL - Centre de  Créations pour l'Enfance,"Fondée à Tinqueux en 1960, l’association « Centre Culturel, Centre de Créations pour l’Enfance » s’est fixée pour but de favoriser l’accès du plus grand nombre aux pratiques artistiques et culturelles, en particulier celles des enfants et de leur famille",/associations/centre-culturel-centre-de-creations-pour-l-enfance,https://cdn.helloasso.com/img/logos/croppedimage-4d692823c0b44044af0b0db110537334.png,https://cdn.helloasso.com/img/photos/croppedimage-d4a38dc7db9c4e708dd535cff78bd6bf.png,Tinqueux,51430,Marne,Grand Est,8 Rue du General Kleber,49.249446,3.99121,Association1901,Arts | Culture | Enfance | Arts et Culture,,3,Event,1687816800,1773162793,110,,secretariat@creationspourlenfance.org,0326081326
537103,rainbow prod compagnie,favoriser développer et promouvoir la création artistique et le spectacle vivant,/associations/rainbow-prod-compagnie,https://cdn.helloasso.com/img/logos/croppedimage-24e74c81b079413baf82e16ba86b9885.jpg,https://cdn.helloasso.com/img/photos/croppedimage-6a482aacc270471db20aa9556c3360b8.png,Tinqueux,51430,Marne,Grand Est,30 Allee Gabrielle Dorziat,49.249222,3.983958,Association1901,Arts et Culture | Arts | Culture,,4,"Event, Membership",1727647200,1774904679,110,,peggycarle1@gmail.com,0623057890
264738,Association Cormontreuil Champagne Basket,Club de basket de niveau national en banlieue rémoise,/associations/association-cormontreuil-champagne-basket,https://cdn.helloasso.com/img/logos/croppedimage-4effd50583a44a14a49ed64f926a232c.png,https://cdn.helloasso.com/img/photos/croppedimage-8e8cbef212d240b2bde7007e93bb3b93.png,Cormontreuil,51350,Marne,Grand Est,23 RUE DES TAMARIS,49.221352,4.043887,Association1901,Sport | Basketball,,3,"Event, PaymentForm",1622066400,1774973345,110,FFBB,simon.lamblin1972@gmail.com,0677878686
283836,CSS Reims,"Le Club Sportif des Sourds de Reims est une association sportive créée en 1933 par Paul Penaud.  Ce club est dédié à tous les sportifs et sportives sourds (ayant une déficience auditive) et permet le rassemblement d'un public sourd, où les personnes entendantes sont bien évidemment les bienvenues.",/associations/css-reims,https://cdn.helloasso.com/img/logos/croppedimage-ef454014075f4c89bc9c852454664cf6.png,https://cdn.helloasso.com/img/photos/croppedimage-821a9a6ddeef444f8c7f1413a02f6605.png,Reims,51100,Marne,Grand Est,13 Rue Colonel Charbonneaux,49.270628,4.003616,Association1901,Sport,Octobre-rose,3,"Shop, Event",1632348000,1775051869,110,,cssreims@hotmail.com,
601551,RENCONTRES D'IMPROVISATION DE REIMS,"Cette association a pour but de valoriser l’improvisation théâtrale sur Reims et ses environs par l’organisation de rencontres entre pairs, la mise en place d’évènements, de spectacles ou de formations autour de l’improvisation théâtrale et de ses techniques.",/associations/rencontres-d-improvisation-de-reims,https://cdn.helloasso.com/img/logos/croppedimage-1a4a110fd4bb475eb0a46f61d0f02fe2.png,https://cdn.helloasso.com/img/photos/croppedimage-469ff380aa0746f9869d0a4bd9327980.png,Reims,51100,Marne,Grand Est,05 rue des Fileurs,49.258109,4.061844,Association1901,Arts | Culture | Formation | Improvisation | Théâtre | Arts et Culture,,4,"CrowdFunding, Shop, Donation, Membership",1752098400,1772654111,110,,,
336280,Maison des Jeunes et de la Culture de Fismes,"La Maison des Jeunes et de la Culture de Fismes est une association de type loi 1901.  C’est une structure ouverte à tous, où bénévoles et professionnels de l’animation proposent tout au long de l’année, activités et ateliers, animations et projets pour répondre aux besoins de tous.",/associations/maison-des-jeunes-et-de-la-culture-de-fismes,https://cdn.helloasso.com/img/logos/croppedimage-a0e70e2aa9674e46b8ed567cba502539.png,https://cdn.helloasso.com/img/photos/croppedimage-2f5df22b92e741f3ba8294e75b14f66e.png,Fismes,51170,Marne,Grand Est,Allee Goscinny Uderzo,49.308263,3.683562,Association1901Rig,Culture | Professionnels | Education,Don,4,"Event, Donation",1658786400,1774637212,110,,contact@mjc-fismes.fr,0326480589
428389,Moto Club Epernay,Association loi 1901 ouverte aux disciplines suivantes : - Tourisme - Trial et Ecole de Trial - Moto-Verte / Enduro - Enduro - Quad - Moto-Ancienne - Vitesse / mini GP - Moto-cross - Spyder - Stage découverte jeunes - Side-car ,/associations/moto-club-epernay,https://cdn.helloasso.com/img/logos/croppedimage-ce6c90c4de6b463d877ca8fbe6100fda.png,https://cdn.helloasso.com/img/photos/croppedimage-f6c08f555f264faeae36d03c996a1410.png,Épernay,51200,Marne,Grand Est,Maison des Associations,46.093233,-0.817184,Association1901Rig,Sport | Moto | Tourisme,,5,Event,1693864800,1774863208,110,,contact@motoclubepernay.com,0326543003
196555,Team Airsoft Reims,,/associations/team-airsoft-reims,https://cdn.helloasso.com/img/logos/croppedimage-f812d8d7544f4d658bd5b5ea57a2e7e0.png,https://cdn.helloasso.com/img/photos/croppedimage-a6b98098b791423b91283b83825c3130.jpg,Bétheny,51450,Marne,Grand Est,44 Allée des Primevères,49.282811,4.053423,Association1901,Sport,,6,"Shop, Event, Donation",1583881200,1775036531,110,,,
227191,Elo Forme et Détente,"ELO FORME ET DÉTENTE est une association sportive loi 1901, rémoise composée de  plusieurs  éducateurs sportifs diplômés à l'écoute de vos besoins, dans une ambiance conviviale et familiale. Zumba fitness, Marche Nordique, Yoga, Pilates, Stretching, renforcement musculaire, relaxation....",/associations/elo-forme-et-detente,https://cdn.helloasso.com/img/logos/croppedimage-3cb2357296ee478784f1f6b7289b0dd7.png,https://cdn.helloasso.com/img/photos/croppedimage-475a4db5edaa4ddfa113d582174713ad.png,Reims,51100,Marne,Grand Est,5 Impasse Léo Lagrange,49.242977,4.024769,Association1901,Fitness | Marche nordique | Musculation | Pilates | Zumba | Bien-être,,3,"Event, PaymentForm, Membership",1604098800,1774863808,110,BasicCompta | WooCommerce,eloformeetdetente@eloformeetdetente.com,0682215496
291934,Soundz,"Soundz est un collectif et une association affiliée à Neoma BS, dédié à la musique électronique et à la techno à Reims. Il promeut la culture électro à travers événements, DJ sets et collaborations artistiques.",/associations/soundz,https://cdn.helloasso.com/img/logos/croppedimage-7ca9c9d1a5df400b90523dde75cc768e.jpg,https://cdn.helloasso.com/img/photos/croppedimage-d3492995e1e3456485ee03b09107a12b.jpg,Reims,51100,Marne,Grand Est,59 Rue Pierre Taittinger,49.238509,4.002832,Association1901,Arts | Culture | Musique électronique | Musique,Octobre-rose,2,"Event, Donation",1636930800,1774990506,110,,soundz.neoma@gmail.com,
60132,Crocs en scène,"Une compagnie, des ateliers, des cours et un réseau artistique.",/associations/crocs-en-scene,https://cdn.helloasso.com/img/logos/croppedimage-1d54b24e87bf4d0c95f6b8338d06c7f9.png,https://cdn.helloasso.com/img/photos/croppedimage-4e4ab08f892148f0b92ee6c4b722442a.png,Reims,51100,Marne,Grand Est,"28G, boulevard Joffre",49.259165,4.0251,Association1901Rig,Arts et Culture | Arts | Culture,,10,"Shop, Event, Donation, Membership",1489014000,1773267558,110,BAssociation,accueil@crocs-en-scene.com,0781989439
627363,COEUR DE PISTARD(E),Cœur de Pistard(e) est une association sportive loi 1901 dédiée à la sensibilisation à la sécurité routière à moto. Elle organise des actions de prévention et reverse des dons à l’Œuvre des Pupilles pour soutenir les familles de sapeurs-pompiers.,/associations/coeur-de-pistard-e,https://cdn.helloasso.com/img/logos/croppedimage-cfb38c02530a49798b785ca1262e6d56.png,https://cdn.helloasso.com/img/photos/croppedimage-80c9f916ff4543bb9cadd68248e80ad0.png,Reims,51100,Marne,Grand Est,51 Chaussée Bocquaine,49.242713,4.03004,Association1901,Moto | Protection civile | Sécurité | Sport,,1,Donation,1762470000,1764928913,110,,coeurdepistard@gmail.com,
50943,Arts et compagnie,"Arts et compagnie  : claquettes, comédie musicale - enfant et adultes - cours et stages sur Reims",/associations/arts-et-compagnie,https://cdn.helloasso.com/img/logos/arts et compagnie-d16231f369bf45c8a3ae75e87de73c4d.png,https://cdn.helloasso.com/img/photos/croppedimage-719526edd90c428eb17115b1600ac7da.jpg,Reims,51100,Marne,Grand Est,118 rue Gambetta,49.246437,4.039179,Association1901Rig,Arts | Claquettes | Comédie musicale | Culture | Enfance | Arts et Culture | Musique,,9,"Event, Donation",1467151200,1774699340,110,,artsetcompagnie51@gmail.com, 
532063,Festi'Ludes ,"Festi'Ludes, c'est une toute jeune asso avec, au programme : - la volonté d'animer le village avec des évènements variés, pour tous et dans la bonne humeur. - l'envie de créer des instants conviviaux à Ludes et pourquoi pas ailleurs. - l'ambition de faire bouger, rêver, découvrir, jouer et danser",/associations/festi-ludes,https://cdn.helloasso.com/img/logos/croppedimage-2ea8c82f75c04da58fbaee8b43d2de7f.png,https://cdn.helloasso.com/img/photos/croppedimage-57259591ffb143fbbaee0511d69fe467.png,Ludes,51500,Marne,Grand Est,4 Place de la République,49.153973,4.079866,Association1901,Loisirs | Arts et Culture,,2,"Event, Donation",1726005600,1774801932,110,,festiludes@gmail.com,0673708299
647870,ASSOCIATION DE PARENTS D'ELEVES DE LA COMMUNE DE WITRY,"APE Commune de Witry - Ecoles : Jules Verne et Alexis Conio  Parents bénévoles unis pour soutenir les projets des écoles, organiser des événements et enrichir la vie scolaire  Ensemble pour nos enfants !  #APECommunedeWitry #ParentsEngagés",/associations/association-de-parents-d-eleves-de-la-commune-de-witry,https://cdn.helloasso.com/img/logos/croppedimage-5a0dca72b3dc4b5eab18f99fab55a473.png,https://cdn.helloasso.com/img/photos/croppedimage-aa93c45749e94ec8a78b53afbe32cab8.png,Witry-lès-Reims,51420,Marne,Grand Est,31 boulevard du Chemin de Fer,49.294479,4.11768,Association1901,Education | Enfance | Formation,,1,Membership,1770678000,1775028220,110,,,
