objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
233383,Convention Entreprises Climat,"Contribuer à ce que le monde économique réussisse sa métamorphose écologique, le plus rapidement et le plus profondément possible, pour rendre irrésistible la bascule de l'économie extractive vers l'économie régénérative.",/associations/convention-entreprises-climat,https://cdn.helloasso.com/img/logos/croppedimage-2799dcabee0f486d82f2ea40215abd04.png,https://cdn.helloasso.com/img/photos/croppedimage-cd6363433bee4ff3a37fa3650e091ddb.png,Billom,63160,Puy-de-Dôme,Auvergne-Rhône-Alpes,Impasse du Bonheur,45.720299,3.335828,Association1901Rig,Ecologie et Environnement | Environnement | Écologie | Économie,Don,18,"Event, Donation, Membership",1606777200,1774974110,110,,admin@cec-impact.org,
33557,astu'sciences,"Astu’sciences est une association qui a pour but de mettre en lien la multitude des acteurs du territoire et les compe´tences ne´cessaires pour faire rayonner la culture scientifique, technique et industrielle (CSTI) en Auvergne.",/associations/astu-sciences,https://cdn.helloasso.com/img/logos/astu sciences-72e4e18247ca42c09238492791288662.jpg,https://cdn.helloasso.com/img/photos/21099-1427240000137.jpg,Clermont-Ferrand,63000,Puy-de-Dôme,Auvergne-Rhône-Alpes,28 boulevard côte Blatin,45.771266,3.092857,Association1901Rig,Sciences et Technologie | Arts | Culture | Sciences,,6,"Event, Donation, Membership",1427238000,1774951900,110,,,
412472,Les Amis de Puy de Mômes ,"L'Association des Amis de Puy de Mômes organise des Ateliers et des Animations dédiés aux enfants, pendant toute la durée du Festival Puy de Mômes, qui se tient chaque année à Cournon d'Auvergne, afin de créer un lien familial et convivial entre les spectacles proposés par le Festival. ",/associations/les-amis-de-puy-de-momes,https://cdn.helloasso.com/img/logos/croppedimage-2e8a8efd36254af3a897e0e4cd535ff5.png,https://cdn.helloasso.com/img/photos/croppedimage-8a3820f78ae34ed981fcd9821a3bbd42.png,Cournon-d’Auvergne,63800,Puy-de-Dôme,Auvergne-Rhône-Alpes,34 place Joseph Gardet,45.738761,3.195736,Association1901,Arts | Culture | Enfance | Arts et Culture,,2,"Event, Membership",1687298400,1774954929,110,,lesamispuydemomes@gmail.com,0631687474
385598,SOLEMAY,"Association de danses urbaines - Hip-Hop, Dancehall. Proposant des cours réguliers, stages, spectacles, soirées. Localisée à Clermont-Ferrand, Puy-De-Dôme. Nous vous souhaitons une agréable visite.",/associations/solemay,https://cdn.helloasso.com/img/logos/croppedimage-e05489786a73414280e4159f79beb563.png,https://cdn.helloasso.com/img/photos/croppedimage-70159f6a6f474024a4b314dbc52b45ad.png,Clermont-Ferrand,63000,Puy-de-Dôme,Auvergne-Rhône-Alpes,7 rue Amadéo,45.780571,3.075905,Association1901,Arts | Culture | Danse | Hip-hop | Arts et Culture,,4,"Shop, Event, Donation, Membership",1678921200,1774908665,110,,solemay.pro@gmail.com,0617120709
311861,CEBAZAT ECHECS,Association Sportive d'Échecs sur la commune de Cébazat (63) https://cebazat-echecs.kalisport.com/,/associations/cebazat-echecs,https://cdn.helloasso.com/img/logos/croppedimage-60dd3ae88d7148fb8d39c3092adef612.png,https://cdn.helloasso.com/img/photos/croppedimage-1e7109c42b5d4fdcb31edf20672944af.png,Cébazat,63118,Puy-de-Dôme,Auvergne-Rhône-Alpes,2 Rue des Caves,45.828696,3.0916,Association1901,Échecs | Sport,,1,Event,1647471600,1774973824,110,,cebazatechecs@gmail.com,0660593356
301745,Handball Club Chamalières,Association sportive pour la pratique du handball,/associations/handball-club-chamalieres,https://cdn.helloasso.com/img/logos/croppedimage-49ec62f6a93d4ee69949592ad31fc0da.png,https://cdn.helloasso.com/img/photos/croppedimage-2fa098b37b1b45df862d09c68f841335.png,Chamalières,63400,Puy-de-Dôme,Auvergne-Rhône-Alpes,Rue des Saulées,45.777047,3.065777,Association1901,Sport | Handball,,3,"Shop, Event",1642719600,1774813612,110,FFHB,hbchamalieres@gmail.com,
379485,Fluide Glacière,Association du quartier de la Glacière à Clermont-Ferrand Fluide Glacière — ou comment transformer un quartier tranquille en laboratoire d’expériences festivo-culturelles hautement réfrigérées (mais toujours avec le cœur chaud).,/associations/fluide-glaciere,https://cdn.helloasso.com/img/logos/croppedimage-caaada6538424f0584d58b62715b7fd0.png,https://cdn.helloasso.com/img/photos/croppedimage-f953ba8260b64e06904ef1a5740b94bd.jpg,Clermont-Ferrand,63100,Puy-de-Dôme,Auvergne-Rhône-Alpes,156 rue Docteur Hospital,45.796584,3.088949,Association1901,Loisirs,,2,"Event, Membership",1677106800,1774966064,110,BAssociation,contact@fluideglaciere.fr,
236460,LieU'topie,LieU’topie est une association étudiante culturelle et solidaire à fort ancrage local. Nos actions invitent les étudiant.e.s et citoyen.ne.s clermontois.e.s à expérimenter de nouvelles pratiques dans la convivialité et l’inclusivité selon une dynamique orientée par les valeurs de l’économie sociale.,/associations/lieu-topie,https://cdn.helloasso.com/img/logos/croppedimage-0677bc4bdb094f2382b11f67a718da03.png,https://cdn.helloasso.com/img/photos/croppedimage-0f7a6d07cb4845a89f0d7c5b84fd5c65.png,Clermont-Ferrand,63000,Puy-de-Dôme,Auvergne-Rhône-Alpes,21 Rue Kessler,45.768981,3.087344,Association1901Rig,Culture | Économie | Étudiants | Solidarité et Action Sociale | Réseaux pros et étudiants,,7,"Event, Donation, Membership",1608418800,1774872580,110,,lieu.alternatif@gmail.com,
318110,Atout Conf Clermont,Organisation de conférences pour les externes en médecine de la faculté de Clermont-Ferrand.  Commandes Groupées de Collèges à prix réduits !,/associations/atout-conf-clermont,https://cdn.helloasso.com/img/logos/croppedimage-ea799d0b225e4d3780a3b9cfa557c82f.png,https://cdn.helloasso.com/img/photos/croppedimage-cc18b0986ae34614a859a1f305fcfa01.png,Clermont-Ferrand,63000,Puy-de-Dôme,Auvergne-Rhône-Alpes,28 Place Henri Dunant,45.759937,3.089254,Association1901,Formation | Education,,4,"Shop, Event, Membership",1650492000,1774945597,110,,atoutconf@gmail.com,
278856,ISSOIRE BMX,US ISSOIRE BMX,/associations/issoire-bmx,https://cdn.helloasso.com/img/logos/croppedimage-1b4c30e1a68c48a7bfc5510aa8de9bd2.png,https://cdn.helloasso.com/img/photos/croppedimage-3be836efd6ac403aac459d7ff36b7c59.png,Issoire,63500,Puy-de-Dôme,Auvergne-Rhône-Alpes,4 Rue Jean Monet,45.550709,3.269364,Association1901Rig,BMX | Loisirs,,193,"Shop, Event, Membership",1630274400,1774946868,110,,issoire.bmx@orange.fr,0627882988
