objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
658939,PSYCHOMOT'PO,"Psychomot’PO réunit les psychomotriciens des Pyrénées-Orientales autour d’un réseau dynamique et bienveillant.  L’association valorise la richesse de la psychomotricité dans la diversité de ses approches,  et crée des espaces de rencontres, de partage et d’échanges entre professionnels.",/associations/psychomot-po,https://cdn.helloasso.com/img/logos/croppedimage-b7aed88f2d2c40dab1e3d99aa6b18337.png,https://cdn.helloasso.com/img/photos/croppedimage-76d8019e55b14984929709a4d2f4c092.png,Perpignan,66100,Pyrénées-Orientales,Occitanie,2 place Henri de Turenne,42.688462,2.90336,Association1901,,,1,Membership,1774479600,1774960956,110,,psychomotpo66@gmail.com,
363256,Les Roc'tambules,"Les roc'tambules est une association visant à promouvoir des valeurs de partages, d'entraides et d'émerveillements au travers d'événements sportifs et culturels autour de l'escalade et de la slackline. ",/associations/les-roc-tambules,https://cdn.helloasso.com/img/logos/croppedimage-0f94d03ab57d4180bd81f1005f5c4fe1.png,https://cdn.helloasso.com/img/photos/croppedimage-2bef08559cf84612932d0369baf801c4.png,Font-Romeu-Odeillo-Via,66120,Pyrénées-Orientales,Occitanie,5 Impasse Emmanuel Brousse,42.50542,2.041571,Association1901,Sport | Culture | Escalade,,7,"Shop, Event, Donation, Membership",1670799600,1774963658,110,federation-francaise-montagne-escalade,roc.tambules@gmail.com,0627141827
648989,Tots Junts per la Bressola de Saint-Estève,Tots Junts est une association qui organise des événements pour récolter des fonds afin de financer des sorties scolaires et du matériel pédagogique pour l’école La Bressola de Saint-Estève.,/associations/tots-junts-per-la-bressola-de-saint-esteve,https://cdn.helloasso.com/img/logos/croppedimage-0c8e102aaa1941e383418b9924094738.png,https://cdn.helloasso.com/img/photos/croppedimage-26e6203e0c7940f4b8f74d65eee6668f.png,Saint-Estève,66240,Pyrénées-Orientales,Occitanie,56 Avenue de Baixas,42.71853,2.840493,Association1901,Education | Formation,,3,"Event, Donation, Membership",1770937200,1775019143,110,,tots.junts.amb.la.bressola@gmail.com,
507841,THE KNIGHTS ON THE SQUARE,"Nous avons choisi, pour cette Association de Franc-Motards, le nom anglais de « The Knights on the Square » (Les Chevaliers de l’Equerre), pour rappeler l’esprit chevaleresque et toutes les attitudes et comportements que nous nous devons tous d’appliquer dans le cadre de notre esprit maçonnique:.",/associations/the-knights-on-the-square,https://cdn.helloasso.com/img/logos/croppedimage-cd5a3fd5d8b34f37a4fb18989f09ae19.png,https://cdn.helloasso.com/img/photos/croppedimage-39435f35081c478dbdd9738c5a9cc789.png,Saint-Cyprien,66750,Pyrénées-Orientales,Occitanie,2 Rue Albert Camus,42.624804,3.026277,Association1901Rig,Spiritualité,Octobre-rose,6,"Shop, Donation, Event, Membership",1716415200,1774967380,110,BasicCompta,kots.gt@gmail.com,0669667000
324625,ASSOCIATION HANDI'CAP 66,"Créée en 2009 par des parents concernés par la Trisomie 21 sous le nom de ""Trisomie 21 des PO"", l'association devient, en 2021,  ""Handi'Cap 66"".  Située à Claira, ""Handi'cap 66"" accueille et accompagne désormais tous les enfants et/ou jeunes adultes porteurs de handicap sans solutions d’accueil.  ",/associations/association-handi-cap-66,https://cdn.helloasso.com/img/logos/croppedimage-4a973326a6a2402e99aab1818c93d08c.png,https://cdn.helloasso.com/img/photos/croppedimage-36847cec0ebf41bd869137dbc81df9d1.png,Claira,66530,Pyrénées-Orientales,Occitanie,3 Rue de l’Union,42.758518,2.955447,Association1901,Enfance | Handicap | Humanitaire | Solidarité | Solidarité et Action Sociale,,3,"CrowdFunding, Donation, Membership",1653429600,1774961515,110,,contact@handicap66.fr,0619934297
427848,Bulle de Bien être,"Notre association propose des ateliers de Biodanza ayant comme objectif de stimuler la joie de vivre comme source de santé et de favoriser l’actualisation et l’expression des potentialités de chacun, pour une existence et des relations plus épanouissantes.",/associations/bulle-de-bien-etre,https://cdn.helloasso.com/img/logos/croppedimage-b4fe92a77cb440c9b7bf755a67b4c8f6.jpg,https://cdn.helloasso.com/img/photos/croppedimage-ef19a48aa4bf4bb5882516ca4b7e299b.jpg,Saint-Estève,66240,Pyrénées-Orientales,Occitanie,4 Rue Nelson Mandela,42.710339,2.8518,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,,8,"Event, Membership",1693692000,1773436613,110,,christinebiodanza@gmail.com,0664975153
515414,GENER'ACTIONS,GENER'ACTIONS est une association sportive qui propose des cours de fitness et de Zumba sur la commune de Baixas et à Perpignan Polygone Nord dans le bâtiment des 5 Éléments ,/associations/gener-actions,https://cdn.helloasso.com/img/logos/croppedimage-12e3cd8af3b347118565d6aa70c2a497.png,https://cdn.helloasso.com/img/photos/croppedimage-875940529a1c48398419bac981a327b9.png,Saint-Estève,66240,Pyrénées-Orientales,Occitanie,12 Place d’Artois,42.705896,2.837488,Association1901,Sport | Fitness | Zumba,,3,"Shop, Membership",1718920800,1774960927,110,Infolocale,lemorvan.karine@wanadoo.fr,0663563610
384020,APE Pole Enfance de Font-Romeu-Odeillo-Via,"Association des Parents d'élèves du Pole Enfance de Font -Romeu -Odeillo-Via. Soutenir les projets de l'école, la crèche et du centre de loisirs du pôle Enfance. Créer du lien entre les familles, organiser des événements, informer et accompagner les familles. Tout est à créer, rejoignez-nous!",/associations/ape-pole-enfance-de-font-romeu-odeillo-via,https://cdn.helloasso.com/img/logos/croppedimage-c886e60662f64589a781ad490f65a087.png,https://cdn.helloasso.com/img/photos/croppedimage-345aa58a8f4e432a921a85ccea3852f4.png,Font-Romeu-Odeillo-Via,66120,Pyrénées-Orientales,Occitanie,1 Av du Professeur Felix Trombe,42.49669,2.033684,Association1901Rig,Education | Crèche | Enfance | Formation | Parents d'élèves,,4,"Shop, Event, Donation, Membership",1678489200,1774879929,110,,apefontromeu@gmail.com,
622068,ASSOCIATION POUR LES ECOLIERS BAIXANENCS,"Nous soutenons les projets des écoles de Baixas : sorties, matériel, activités et événements conviviaux.  -Association des parents d’élèves de Baixas -Pour faire grandir les projets de nos écoliers -Événements, solidarité & bonne humeur ! ?? Baixas (66) |  Rejoignez-nous !",/associations/association-pour-les-ecoliers-baixanencs,https://cdn.helloasso.com/img/logos/croppedimage-6c033d967a144ed1943d02bd2d05daa4.png,https://cdn.helloasso.com/img/photos/croppedimage-ec923595dcdd43a78f35508ab81c3535.jpg,Baixas,66390,Pyrénées-Orientales,Occitanie,Rue Voltaire,42.747795,2.808623,Association1901,Education | Formation | Solidarité,,2,Event,1760565600,1774884735,110,,assoecole66390@gmail.com,
605271,LES CAVALIERS DU LIEN,"Objet: La mise en place de séances d’équithérapie à destination de personnes atteintes de la maladie d’Alzheimer et autres troubles cognitifs, ainsi que la sensibilisation du public aux bienfaits de l’accompagnement assisté par le cheval. Presidente ; Eliane Durant Alford RNA / W662014682  ",/associations/les-cavaliers-du-lien,https://cdn.helloasso.com/img/logos/croppedimage-ea7aca219aa34c6eaef98804c638d6f2.png,https://cdn.helloasso.com/img/photos/croppedimage-59169e21a9294224b4598f9f62d21628.png,Perpignan,66000,Pyrénées-Orientales,Occitanie,45 rue Hippolyte Despres,42.708756,2.886494,Association1901,Animaux | Humanitaire | Solidarité | Santé,,2,"Donation, Membership",1754172000,1774901315,110,,cavaliersdulien@outlook.Fr,0673173969
