objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
410224,HBC Aix en Savoie,Association sportive de Handball depuis 1964 à Aix-Les-Bains en Savoie. Nous proposons un pratique mixte dès l'âge de 5 ans jusqu'au Séniors. ,/associations/hbc-aix-en-savoie,https://cdn.helloasso.com/img/logos/croppedimage-6dad5e4f268342d19f7f26bbe8f605a3.png,https://cdn.helloasso.com/img/photos/croppedimage-5c000562d2834d469c131f39dc2704d6.png,Aix-les-Bains,73100,Savoie,Auvergne-Rhône-Alpes,7 rue des prés riants,45.694327,5.907952,Association1901Rig,Sport | Handball,,6,"Shop, Event",1686607200,1774964409,110,FFHB,contact@hbcaixensavoie.fr,0479884550
513247,ADDCAES,"L’ADDCAES a pour objet de soutenir, de mettre en œuvre, de développer des actions contribuant à l’intégration des immigrés et de leurs familles, à l’accès aux droits et à l’égalité des chances. Nos actions s’adressent aux publics immigrés ainsi qu’aux acteurs des services publics et associations.",/associations/addcaes,https://cdn.helloasso.com/img/logos/croppedimage-904c310df12b467385258c11946f6055.png,https://cdn.helloasso.com/img/photos/croppedimage-ce546c7ed8e144c39098d96deefbdf53.png,Chambéry,73000,Savoie,Auvergne-Rhône-Alpes,259 Place rené vair,45.562273,5.902728,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,,3,"Event, Donation, Membership",1718229600,1774616927,110,,contact@addcaes.org,0479724349
368118,ST ALBAN DANSE,"Depuis plus de vingt ans, Saint Alban Danse est présente dans le bassin chambérien afin de promouvoir les danses de salon telles que le Rock and Roll, le Chacha, le Tango, la Valse, le Quick-Step... Ainsi que les danses latines comme la Salsa, la Bachata, la Kizomba. Venez nous découvrir !",/associations/st-alban-danse,https://cdn.helloasso.com/img/logos/croppedimage-78ed9403e28644188d317431d9906526.png,https://cdn.helloasso.com/img/photos/croppedimage-32f8a99bef6e4dfbbfe835cd6d5e3172.png,Saint-Alban-Leysse,73230,Savoie,Auvergne-Rhône-Alpes,120 Avenue de la mairie,45.580492,5.958378,Association1901,Arts et Culture | Arts | Bachata | Culture | Danse | Rock | Salsa | Tango,,2,"Event, Membership",1673391600,1774970971,110,,stalban-danse@laposte.net,0618911586
563819,Club Ski Montagne Le Bourget-du-Lac,"Ski Club du Bourget-du-Lac  Nous proposons des cours et activités en ski alpin, ski nordique et randonnée raquettes/marche nordique.  A très vite dans nos belles montagnes !",/associations/club-ski-montagne-le-bourget-du-lac,https://cdn.helloasso.com/img/logos/croppedimage-9cacd1bc4c33423e8b337ebf3380232d.png,https://cdn.helloasso.com/img/photos/croppedimage-d1aa1da4390a4d79a3d9dc3a3522d63a.png,Le Bourget-du-Lac,73370,Savoie,Auvergne-Rhône-Alpes,7 Rue des écoles,45.648531,5.859622,Association1901,Marche nordique | Randonnée | Ski | Sport,,2,Event,1737241200,1774939789,110,,csmbourget@gmail.com,
617984,Sou des écoles de Chindrieux,"Association de parents bénévoles qui organisent plusieurs manifestations durant l'année, le but étant de rassembler des fonds pour financer les projets des enseignants, et ainsi agrémenter l’année scolaire des enfants de l'école de Chindrieux avec des sorties, activités...",/associations/sou-des-ecoles-de-chindrieux,https://cdn.helloasso.com/img/logos/croppedimage-bcaf1e4c94aa4338af366fc7ea391683.png,https://cdn.helloasso.com/img/photos/croppedimage-f4722eb8f4254abd943e33d97e813d60.png,Chindrieux,73310,Savoie,Auvergne-Rhône-Alpes,Rue du Perron,45.820115,5.849979,Association1901,Education | Enfance | Enseignement | Formation,,2,Event,1759183200,1774944253,110,,soudesecoleschindrieux@gmail.com,
201050,INSTINCT'TAF,"L’association Instinct´taf, crée en 2005, rassemble des passionnés et des professionnels du spectacle qui soutiennent et construisent des projets favorisant le lien social, la coopération entre acteurs du développement local, les échanges (inter)culturels  …pour allier culture et solidarité !",/associations/instinct-taf,https://cdn.helloasso.com/img/logos/instinct taf-641cb793af134f9286e34a2ab3ba566f.jpg,https://cdn.helloasso.com/img/photos/ mosaique -light2-b84906471c374bf4a8f99481cffc25b0.jpg,Les Échelles,73360,Savoie,Auvergne-Rhône-Alpes,"""Le Transfo"", 175 chemin du Canal, Z.A. du Maillet, ",45.441807,5.739821,Association1901,Arts | Culture | Professionnels | Solidarité | Arts et Culture,,11,"Event, Membership",1587333600,1774951495,110,,instinctaf(a)yahoo.fr,0479448929
43984,Association Mountain Riders,"Mountain Riders travaille depuis 2001 à la sensibilisation et l'éducation à la transition écologique en territoire de montagne. Notre philosophie : sensibiliser sans moraliser, travailler avec tous, et faire du changement une démarche positive autour d'alternatives concrètes.",/associations/association-mountain-riders,https://cdn.helloasso.com/img/logos/croppedimage-f3450b21ee3f4c38a3e07223e738000f.png,https://cdn.helloasso.com/img/photos/76449.JPG,Chambéry,73000,Savoie,Auvergne-Rhône-Alpes,180 Rue du genevois,45.589248,5.923355,Association1901Rig,Ecologie et Environnement | Environnement | Philosophie | Écologie,Don,8,"Donation, Shop, Event, Membership, CrowdFunding",1459807200,1774944980,110,OHME,communication@mountain-riders.org,09 72 19 37 14
638323,ACADÉMIE DE L'INTELLIGENCE DU VIVANT,"Accompagner chacun à réveiller son Intelligence du Vivant pour harmoniser son existence et vivre AVEC le monde (nature - humain - non humain) qui nous entoure.  Conférences, sorties nature, Forum et formations  Mission sociale et environnementale ",/associations/academie-de-l-intelligence-du-vivant,https://cdn.helloasso.com/img/logos/croppedimage-0b004ddad68349c2be6da2ee1b700807.png,https://cdn.helloasso.com/img/photos/croppedimage-e9dd5429d2214c56829c97db38d815a6.png,Grésy-sur-Aix,73100,Savoie,Auvergne-Rhône-Alpes,40 route des gorges du Sierroz,45.722547,5.922847,Association1901,Ecologie et Environnement | Environnement | Formation,,3,"Event, Donation, Membership",1767567600,1769443611,110,,intelligence.vivant@gmail.com,
315429,BEAPS ,"Plus qu'une asso, un char d'asso ",/associations/beaps,https://cdn.helloasso.com/img/logos/croppedimage-1c5a56b2f858458aacd1faef6ed972fc.png,https://cdn.helloasso.com/img/photos/croppedimage-8ea9989496e24304bedac84a27783fe7.png,Le Bourget-du-Lac,73370,Savoie,Auvergne-Rhône-Alpes,Avenue du Lac d’Annecy,45.643196,5.870901,Association1901,Étudiants,Octobre-rose | Movember,1,Event,1649196000,1774968978,110,,contact.beaps@gmail.com,0666851842
633025,COLOR'BIZ,"Color'biz c'est le réseau convivial des entrepreneurs savoyards : Val d'Arly, Combe de Savoie, Maurienne, Tarentaise, Beaufortain, Bauges ...  Notre objectif ? Du business et de la convivialité : connaitre et échanger avec d'autres entrepreneurs du territoire pour favoriser les recommandations.",/associations/color-biz,https://cdn.helloasso.com/img/logos/croppedimage-b50d7beba4d8413eaf08def5b5ed14e3.png,https://cdn.helloasso.com/img/photos/croppedimage-5b39636581274beda5033127fc77c4bb.png,Albertville,73200,Savoie,Auvergne-Rhône-Alpes,4 chemin de la Pierre du Roy,45.666359,6.393405,Association1901,Professionnels | Étudiants | Réseaux pros et étudiants | Artisanat et Cuisine,,3,"Event, Membership",1764716400,1774871857,110,,reseau.colorbiz@gmail.com,
