objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
519487,Dancing Queer,Instagram : dancingqueer_paris,/associations/dancing-queer,https://cdn.helloasso.com/img/logos/croppedimage-b6cdf25517ec4bd0a1b5a25ece3637dd.png,https://cdn.helloasso.com/img/photos/croppedimage-af4fc4c6b8d34f6cab7871c4d23b963f.png,Montreuil,93100,Seine-Saint-Denis,Île-de-France,74 Rue Edouard Vaillant,48.853562,2.431709,Association1901,Loisirs,,3,Event,1720735200,1774955910,110,BasicCompta,,
276493,FIT AND TACK,"Association sportive engagée pour le bien-être et la forme (Sport Santé) à Saint-Ouen et à Saint-Denis.  Les cours sont assurés par des coachs diplômé(e)s et formé(e)s: cours de pilates à Saint Denis,pilates à Saint Ouen, Renforcement musculaire à Saint Ouen,cardio training,Bungypump à Saint Denis ",/associations/fit-and-tack,https://cdn.helloasso.com/img/logos/croppedimage-9aca96f2d4a048119bb9a9a8384e3e15.png,https://cdn.helloasso.com/img/photos/croppedimage-dc859611fcc04c29936ba81378a7813f.jpg,Saint-Denis,93210,Seine-Saint-Denis,Île-de-France,Saint-Denis,48.908516,2.361455,Association1901,Musculation | Pilates | Sport,Octobre-rose,3,"Event, Membership",1628287200,1774907754,110,,Fittack93@gmail.com,
127691,Studio Boissiere ,"Laboratoire d'Art pour la promotion d'artistes émergents et issus des migrations.  Créé en 1951, le Studio Boissière est le plus ancien studio photo d'Ile de France toujours en activité. Lieu culturel à fonctionnement associatif : expos/musique/ateliers, nous proposons également des services photos.",/associations/studio-boissiere,https://cdn.helloasso.com/img/logos/croppedimage-6204f87f94a54d7d87062ab0755983bd.jpg,https://cdn.helloasso.com/img/photos/croppedimage-e081ce6fa7444e4f80ed45835fcdf8f6.png,Montreuil,93100,Seine-Saint-Denis,Île-de-France,268 Boulevard Aristide Briand,48.878306,2.457748,Association1901,Arts | Culture | Arts et Culture,,13,"Event, Donation, Membership",1550358000,1774950813,110,,studioboissiere.montreuil@gmail.com,0698665267
317797,ABIOSOL ,"ABIOSOL est un partenariat d’action né en 2009,devenu association en 2019 pour proposer un accompagnement complet aux futur.es paysan.nes biologiques et leur permettre de s’installer sur des exploitations viables en Ile-de-France. ",/associations/abiosol,https://cdn.helloasso.com/img/logos/croppedimage-d95a99097d4e499388ece8dbc80261e3.png,https://cdn.helloasso.com/img/photos/croppedimage-810131e8d2d9498994584b01c77b93e3.png,Montreuil,93100,Seine-Saint-Denis,Île-de-France,47 Av. Pasteur,48.865498,2.437187,Association1901,Environnement | Ecologie et Environnement,,23,"Event, Donation",1650405600,1774958919,110,,jade@abiosol.org,0648507813
412208,Aide Humanitaire et Journalisme,"AHJ renforce la paix et la stabilisation dans les zones de crises à travers des initiatives éducatives, des activités artistiques, des mesures de protection et des actions de mise en réseau destinées aux femmes, afin de défendre leurs droits et faire entendre leurs voix.",/associations/aide-humanitaire-et-journalisme,https://cdn.helloasso.com/img/logos/croppedimage-2eb1ad9db5c947fb9f08ab4046e1979d.png,https://cdn.helloasso.com/img/photos/croppedimage-7954895a453942e6b4f9d4efd5fa766d.jpg,Montreuil,93100,Seine-Saint-Denis,Île-de-France,11 Rue des 3 Territoires,48.851918,2.443652,Association1901Rig,Arts | Formation | Solidarité et Action Sociale,,2,"Donation, Membership",1687212000,1774903243,110,,,
367087,Pipocas,"Pipocas diffuse les traditions afro-brésiliennes issues de l'Umbanda et du Candomblé, par la pratique de fêtes traditionnelles et d'événements culturels : danses, musiques, mythologies, cuisine, couture, nos ateliers mêlent différents savoir-faire sont sollicités pour transmett cet héritage culturel",/associations/pipocas,https://cdn.helloasso.com/img/logos/croppedimage-abb9e827db6e4958ab426f78930e4769.png,https://cdn.helloasso.com/img/photos/croppedimage-63d3584214a14f2f90d73e762f738d96.png,Saint-Denis,93210,Seine-Saint-Denis,Île-de-France,223 Avenue du Président Wilson,48.914239,2.357377,Association1901,Arts | Couture | Cuisine | Culture | Danse | Fête | Arts et Culture,,5,"Shop, Membership",1673046000,1774947785,110,,assopipocas@gmail.com,0616727481
189473,Association d'Amitié Franco-Vietnamienne (AAFV),L'AAFV est membre co-fondateur du COMITE DE SOUTIEN à TRAN To Nga dans son combat pour la reconnaissance des ravages de l'agent orange-dioxine sur la santé de millions de Vietnamiens.  Le poison de la guerre du Vietnam est responsable encore aujourd'hui de bébés malformés et des terres empoisonnées.,/associations/association-d-amitie-franco-vietnamienne-aafv,https://cdn.helloasso.com/img/logos/croppedimage-d78f83f3926548baa68590cde87b0af5.png,https://cdn.helloasso.com/img/photos/croppedimage-fd458a8ea2d148bb9a9113f2464b8a7e.png,Montreuil,93100,Seine-Saint-Denis,Île-de-France,44 Rue Alexis Lepere,48.86484,2.439511,Association1901Rig,Caritatif | Humanitaire | Solidarité et Action Sociale | Santé,Don,3,"CrowdFunding, Event",1580252400,1774892489,110,,acotec@wanadoo.fr,
495280,Make Technology,Aide Technologique pour tous ! Association de loi 1901 d'éducation et d'accompagnement technologique.  www.make-technology.org  Tel. 01.85.10.01.91,/associations/make-technology,https://cdn.helloasso.com/img/logos/croppedimage-77a700f693b0443089d58c91d26ce830.png,https://cdn.helloasso.com/img/photos/croppedimage-012e7a54e873406a95c856358207962f.png,Noisy-le-Grand,93160,Seine-Saint-Denis,Île-de-France,2 Allee des Hautes Fleurs,48.845385,2.576303,Association1901Rig,Education | Formation | Technologie,,9,"Shop, Event",1712354400,1770431727,110,,contact@make-technology.org,0695014640
360611,CoDep 93 - FFESSM,"Plongée subaquatique, Formations et Brevets",/associations/codep-93-ffessm,https://cdn.helloasso.com/img/logos/croppedimage-85a9703e304448b685de92aba20b3358.png,https://cdn.helloasso.com/img/photos/croppedimage-1feeca36441c4454aa4e5047d3366f55.png,Pantin,93500,Seine-Saint-Denis,Île-de-France,"CDOS - CoDep 93 FFESSM 32 , rue Delizy",48.897133,2.408289,Association1901Rig,Sport | Formation | Plongée,,16,"Event, Donation, Membership",1670022000,1774891265,110,,eric.brunelle@outlook.fr,0659873616
535931,parentetmoi,"Parent & Moi soutient les parents et les enfants en proposant des ateliers, des activités éducatives et des espaces d’échange. Notre mission est de renforcer le lien familial et d’accompagner les familles dans leur quotidien. Rejoignez-nous pour grandir ensemble !",/associations/parentetmoi,https://cdn.helloasso.com/img/logos/croppedimage-e1cdbf500f3442d0ac237a1261805638.png,https://cdn.helloasso.com/img/photos/croppedimage-88cbc86dae0c4c4a80881be19d059e6f.png,Drancy,93700,Seine-Saint-Denis,Île-de-France,Rue Daniel Fery,48.922607,2.461268,Association1901,Enfance | Humanitaire | Solidarité | Solidarité et Action Sociale,,4,"Event, Donation, Membership",1727215200,1774951220,110,,Emoietnous@gmail.com,0744741159
