objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
210678,Bmx Club Entrechaux,Club de Bmx en Nord Vaucluse Club créé en 2011,/associations/bmx-club-entrechaux,https://cdn.helloasso.com/img/logos/croppedimage-1858c070412c469d831c844b6532e97c.jpg,https://cdn.helloasso.com/img/photos/croppedimage-d8b0e4ad3bdb4e88bec4ab81b875f99b.png,Entrechaux,84340,Vaucluse,Provence-Alpes-Côte d'Azur,1 Place Paul Guintrand,44.217529,5.136921,Association1901Rig,Sport | BMX,,4,"Event, Donation",1593468000,1774893573,110,,bmxclubentrechaux84@gmail.com,
345631,Un trek pour Elles,"Notre but est de financer des projets en faveur des maladies qui touchent la mobilité. ""Un trek pour Elles"" souhaite relever des défis et reverser les bénéfices en soutien aux personnes touchées par la Maladie de Charcot SLA. ",/associations/un-trek-pour-elles,https://cdn.helloasso.com/img/logos/croppedimage-9fc282a6a93244449899069310929b74.png,https://cdn.helloasso.com/img/photos/croppedimage-20860952b34d4249a6919d6be686c7f9.png,Aubignan,84810,Vaucluse,Provence-Alpes-Côte d'Azur,Aubignan,44.096706,5.031166,Association1901,Caritatif | Humanitaire | Santé | Solidarité et Action Sociale,,2,"Event, Membership",1663970400,1774352345,110,,untrekpourelles@gmail.com,0617948613
175929,Terres de lumière,L'Association Terres de Lumière a été créée en 2000 pour promouvoir le tourisme au village de Rateau en développant des activités qui permettent à la fois la découverte des paysages ainsi que la mise en valeur du patrimoine culturel et économique. ,/associations/terres-de-lumiere,https://cdn.helloasso.com/img/logos/croppedimage-bb77cb9ff5e24018b79cfc8eef8c4fb1.jpg,https://cdn.helloasso.com/img/photos/croppedimage-58be6bedd62c4fcbbf1738576210fde7.jpg,Rasteau,84110,Vaucluse,Provence-Alpes-Côte d'Azur,267 route de Vaison,44.226849,4.99129,Association1901,Solidarité et Action Sociale | Humanitaire | Solidarité,,1,Event,1573858800,1775023185,110,,fredericgiudice@yahoo.fr,
31264,Association Remember Me,"Remember Me France lutte contre l’abandon et la souffrance des chiens errants en Roumanie. Grâce à notre refuge, nous sauvons, soignons et proposons à l’adoption des centaines d’animaux chaque année. Chaque don permet d’offrir une seconde chance à ceux que l’on voulait oublier. Se souvenir et agir.",/associations/association-remember-me,https://cdn.helloasso.com/img/logos/croppedimage-d5dc252b80d948efbc24a1f2469c59e6.png,https://cdn.helloasso.com/img/photos/croppedimage-cb3348c7ead1400dab5b4cce7daa96c6.png,Robion,84440,Vaucluse,Provence-Alpes-Côte d'Azur,505 D avenue de la gare ,43.851201,5.104141,Association1901Rig,Animaux | Caritatif | Chiens | Humanitaire,Solidarité Ukraine | Don,10,"Donation, Shop, PaymentForm, Membership, CrowdFunding",1421881200,1774974999,110,OHME | BAssociation,assorememberme@gmail.com,
211905,Les Compagnons des Côtes du Rhône,"Le laboratoire des événements des Côtes du Rhône - Agitateur vino-culturel depuis 1995. Suivez nos événements : Estivales du Rhône, Ban des Vendanges des Côtes du Rhône, le Théâtre des Sens et visitez les Clos de la Vigne du Palais des Papes à Avignon !",/associations/les-compagnons-des-cotes-du-rhone,https://cdn.helloasso.com/img/logos/les compagnons des cotes du rhone-090dd43c43da4f72bb95d28570b7d917.jpg,https://cdn.helloasso.com/img/photos/croppedimage-8b7ca9fe9fbc4832861b1a7d103efdcf.png,Avignon,84000,Vaucluse,Provence-Alpes-Côte d'Azur,20 Rue Ferruce,43.953073,4.806581,Association1901,Arts | Culture | Théâtre | Arts et Culture,,3,"Shop, Event, Membership",1594072800,1774958965,110,,contact@cdcdr.org,07 80 07 96 30
406618,MLK Sports,"MLK SPORTS offre à ses adhérents une large gamme de séances sportives, incluant , le basket mixte et des sessions de fitness.  Nous proposons aussi au participants (places limités) de participé a un championnat de foot a 7",/associations/mlk-sports,https://cdn.helloasso.com/img/logos/croppedimage-7185196feb314b3db78964d3ed747159.png,https://cdn.helloasso.com/img/photos/croppedimage-29c3d96e04ac47cc8fe16716bc4d9b6d.png,Avignon,84000,Vaucluse,Provence-Alpes-Côte d'Azur,1 Rue Martin Luther KING,43.943438,4.797483,Association1901,Sport | Basketball | Fitness | Football,,21,"Event, Donation, Membership",1685397600,1774990381,110,,nathalie.boudehent@mlkgrandparis.com,0176504500
573205,CÉNACLE POUR COUPLES,"L'association ""Cénacle pour couples"" a pour objectif de permettre à des personnes d' approfondir le sens du mariage, les bonnes pratiques de la vie conjugale en vue de vivre une vie conjugale et familiale heureuse, fructueuse, fidèle et durable",/associations/cenacle-pour-couples,https://cdn.helloasso.com/img/logos/croppedimage-a355250ca1e847dab4b8743bfecb6ec4.png,https://cdn.helloasso.com/img/photos/croppedimage-f06f2f37bcba4811b2c3d87cc0a95385.png,Avignon,84140,Vaucluse,Provence-Alpes-Côte d'Azur,819 avenue des Vertes Rives,43.937567,4.881779,Association1901Rig,Formation | Education,,3,"Event, Donation, Membership",1740524400,1774811202,110,cmmabn,andreetmariedominique@cenaclepourcouple.fr,
228130,Handball Club Thorois,Handball Club Thorois - Taurum Stella Duccit,/associations/handball-club-thorois,https://cdn.helloasso.com/img/logos/handball club thorois-3dcb9009cd4f48b9a3de1fb1f09bca15.png,https://cdn.helloasso.com/img/photos/croppedimage-167c24540fff46518874db2e85d64ff3.png,Le Thor,84250,Vaucluse,Provence-Alpes-Côte d'Azur,Gymnase Jean Garcin - Allée Jean Bouin,43.9294,4.9954,Association1901Rup,Sport | Handball,Don,3,"Shop, Event, Donation",1604530800,1775037376,110,FFHB,contact@handball-thorois.net,0688477047
603853,COSMIC MOOD,"Cosmic Mood est une association qui ré invente la spiritualité ! Une communauté de Fâmes qui veulent avancer ensemble pour aller encore + loin. À travers des ateliers, cafés, afterworks et événements, pour explorer, partager et créer ensemble en toute bienveillance.",/associations/cosmic-mood,https://cdn.helloasso.com/img/logos/croppedimage-703ef57e715a47309aa478f7c53e9139.png,https://cdn.helloasso.com/img/photos/croppedimage-9748dc742d064d1ba7a28ee7c6ae0d45.png,Entraigues-sur-la-Sorgue,84320,Vaucluse,Provence-Alpes-Côte d'Azur,1218 route de Sorgues,44.003138,4.909514,Association1901,Religion | Spiritualité,,3,"Event, Membership",1753308000,1775021457,110,SiteW,,
455565,YOG'IN PROVENCE,Apprenez à prendre soin de vous en pratiquant le Yoga avec nous,/associations/yog-in-provence,https://cdn.helloasso.com/img/logos/croppedimage-1d4194f15bcd40d88de8b62149b2301a.png,https://cdn.helloasso.com/img/photos/croppedimage-19d3e11ed53a41a29a21e5f8af7af056.png,Pertuis,84120,Vaucluse,Provence-Alpes-Côte d'Azur,323 Cours de la République,43.690585,5.50033,Association1901Rig,Bien-être,Don,2,"Donation, Membership",1701730800,1770803129,110,,yoginprovence@gmail.com,0767638583
94305,Avignon Cité Millénaire,"Avignon, ce n’est pas seulement le pont où l’on danse, le Palais et ses papes, le théâtre en juillet… C’est aussi une longue histoire et un patrimoine exceptionnel. Notre association, totalement laïque, a entrepris de répertorier ce qui fait le charme et la beauté de notre ville.",/associations/avignon-cite-millenaire,https://cdn.helloasso.com/img/logos/croppedimage-1fbbbc5315ca45be87b88a303753ff0a.png,https://cdn.helloasso.com/img/photos/croppedimage-91c3600caed3407aa97552b5ea3c37a1.png,Avignon,84000,Vaucluse,Provence-Alpes-Côte d'Azur,19 Rue et Place des Etudes,43.945636,4.808717,Association1901,Patrimoine | Danse | Théâtre,,4,"Event, Donation, Membership",1522360800,1775035630,110,,avignon.lacitemariale@gmail.com,
390576,IMCA Provence,"L’Institut des Métiers de la Communication Audiovisuelle - IMCA Provence, association loi 1901, est un organisme de formation spécialisé dans les métiers  l’audiovisuel et l'écriture de scénario accessible sans conditions de diplômes. ",/associations/imca-provence,https://cdn.helloasso.com/img/logos/croppedimage-a26ea68cbf47489795e5fc6abd5adbe9.png,https://cdn.helloasso.com/img/photos/croppedimage-6f5a452281d2495a84cac55af27cc4dd.png,Sorgues,84700,Vaucluse,Provence-Alpes-Côte d'Azur,27 Boulevard Roger Ricca,44.008781,4.873149,Association1901,Education | Communication | Formation,,10,"Event, PaymentForm, Donation",1680472800,1775021376,110,,info@imca-provence.com,0490861537
376487,URN PACA CORSE,Bienvenue sur le site de  l'Union Régionale Naturiste Provence - Alpes - Côte d'Azur - Corse de la FédérationFrançaise de Naturisme. Nous regroupons les clubs/associations naturistes de la Région PACA. cette page à pour but de faciliter les inscriptions à nos actions/activités  ,/associations/urn-paca-corse,https://cdn.helloasso.com/img/logos/croppedimage-b5005151dcfb4d9897ff3a0639d95549.png,https://cdn.helloasso.com/img/photos/croppedimage-7d1770cca9334a718aee31ef14c1e513.png,Cavaillon,84300,Vaucluse,Provence-Alpes-Côte d'Azur,Route de Gordes,43.849964,5.068363,Association1901,Arts et Culture,,1,Event,1676156400,1775031492,110,,vice.president.urn@gmail.com,0627093999
597808,Association Sportive Culturelle et d'Entraide de Vaucluse,ASCE 84,/associations/association-sportive-culturelle-et-d-entraide-de-vaucluse,https://cdn.helloasso.com/img/logos/croppedimage-f1e53a5c305a468e96ec11c43a46c244.png,https://cdn.helloasso.com/img/photos/croppedimage-0928293022ce4baa888a427636952b6d.png,Avignon,84000,Vaucluse,Provence-Alpes-Côte d'Azur,Services de l'Etat en Vaucluse - DDT de Vaucluse - ASCE 84,43.923455,4.825727,Association1901,Étudiants | Réseaux pros et étudiants,,7,"Shop, Membership",1750370400,1775031752,110,,ascee-84.associations.oh.ddt-84@i-carre.net,
570002,KALLIERGOS,"Pour une biodiversité culturelle locale, Kalliergos soutient, propose, invente et fédère. Une structure d’appoint, une structure d’appui, pour soutenir, mutualiser, faire germer. Nous sommes une asso basée à Cadenet (84, PACA). ",/associations/kalliergos,https://cdn.helloasso.com/img/logos/croppedimage-dd2f6b1cdfd74bd9ba27156cf231072e.png,https://cdn.helloasso.com/img/photos/croppedimage-d74ccb73452d4e44938556859285ca43.png,Cadenet,84160,Vaucluse,Provence-Alpes-Côte d'Azur,40 Rue Ledru Rollin,43.73534,5.370531,Association1901,Arts | Biodiversité | Culture | Arts et Culture,,7,"Event, Donation, Membership",1739314800,1774698961,110,OHME,kalliergos@emailasso.net,
646265,"SPORTING MOTOBALL DE BOLLENE ""SMBB""","Le Sporting MotoBall Bollene est un club créer en 1956. Sport qui mélange le football et la moto. Le ""SMBB"" participe activement aux compétitions nationales. Cette année pour les 70 ans du club une équipe cadet va démarrer. Grace à notre équipe féminine et le travail passionné de nos bénévoles !",/associations/sporting-motoball-de-bollene-smbb,https://cdn.helloasso.com/img/logos/croppedimage-c5d2b4d6da06413c9e744b07da97f979.png,https://cdn.helloasso.com/img/photos/croppedimage-ca4ed70d096440e6a318a506b24835e4.jpg,Bollène,84500,Vaucluse,Provence-Alpes-Côte d'Azur,Avenue Albert Peyron,44.287714,4.741699,Association1901,Sport | Football | Moto,,2,"Shop, Donation",1770159600,1774950626,110,,,
