objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
482211,Les Motes' DéPouillé,"Association de motards pour l'organisation d’événements de grande envergure (sup à 200 motards), organiser des balades moto plus intimistes (5 à 50 motos) et organiser des événements pour le grand public.  ",/associations/les-motes-depouille,https://cdn.helloasso.com/img/logos/croppedimage-ab8e2e0893354e38a6dd145a259e875d.png,https://cdn.helloasso.com/img/photos/croppedimage-0031272c7c824a0994ceb18c7363be76.png,Pouillé,86800,Vienne,Nouvelle-Aquitaine,3 Route de la Cognaquerie,46.54346,0.593836,Association1901,Moto | Sport,Sudouest,4,"Shop, Event, Donation, Membership",1709506800,1774690310,110,,lesmotesdepouille@gmail.com,0616192070
276306,Stade Poitevin Rugby,"Le Stade Poitevin Rugby c'est 125 ans d’histoire, de passion, de valeurs et de rugby !!  Masculins : Fédérale 3 - Féminines : Fédérale 2",/associations/stade-poitevin-rugby,https://cdn.helloasso.com/img/logos/croppedimage-839ab9c14a954401abdbb7acc566fe46.png,https://cdn.helloasso.com/img/photos/croppedimage-8572a7bd62cf447abda8127e8c1f407b.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,53 Avenue Jacques Coeur,46.571909,0.368189,Association1901,Sport | Rugby,,8,"Shop, Event, Donation, Membership",1628114400,1774982075,110,,info@stadepoitevinrugby86.fr,0549464646
264118,Wavy Dance,"Association de danse STREET-JAZZ, KPOP et HEELS sur Poitiers (86). Organisation de cours, événements, stages....",/associations/wavy-dance,https://cdn.helloasso.com/img/logos/croppedimage-8f0f184e39e5473e99927b6457c4cfba.jpg,https://cdn.helloasso.com/img/photos/croppedimage-e4004eacf9c4431f97957c938f61938b.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,Poitiers,46.587306,0.354157,Association1901,Danse | Jazz | Sport | Arts et Culture,,2,"Shop, Event",1621807200,1774984830,110,,wavydance@hotmail.com,0652164478
631257,LE PANIER DE L'ÉTOILE,Le Panier de l'Etoile est une épicerie solidaire destinée aux étudiants de  l'établissement Isaac de l'Etoile à Poitiers. L'association propose des produits alimentaires et de première nécessité à prix dérisoires afin de soutenir le budget des étudiants et favoriser leur bien-être.,/associations/le-panier-de-l-etoile,https://cdn.helloasso.com/img/logos/croppedimage-dc4e85c359724daba5fb84b1edf160af.png,https://cdn.helloasso.com/img/photos/croppedimage-85b60fbe6584498db6b516d1f4971e7b.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,62 rue du Porteau,46.602027,0.339594,Association1901,Humanitaire | Solidarité | Étudiants | Solidarité et Action Sociale,,2,"Event, Donation",1764025200,1774980708,110,,lepanier.deletoile@gmail.com,
245071,Club Sportif des Sourds de Poitiers,Nous sommes un association de loi 1901 qui est situé à Poitiers. Nous travaillons pour faire vivre le sport sourd à Poitiers avec plusieurs disciplines. Futsal Masculin / Féminin. Handball Masculin.,/associations/club-sportif-des-sourds-de-poitiers,https://cdn.helloasso.com/img/logos/csspoitiers-e9db7cdca46540abab60fa63e0568096.jpg,https://cdn.helloasso.com/img/photos/croppedimage-aa69b6713db84a7f8ff0b1df05c7acd7.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,2 rue Riffault,46.583586,0.34614,Association1901Rig,Sport | Futsal | Handball,,5,"CrowdFunding, Event, Donation, Membership",1612825200,1774983414,110,,csspoitiers@gmail.com,0680288484
409017,AS Université de Poitiers,Gestion des compétitions universitaires et animations sportives du campus de l'université Poitiers ,/associations/as-universite-de-poitiers,https://cdn.helloasso.com/img/logos/croppedimage-710a151b563e4b21948d9d0be0d272d3.jpg,https://cdn.helloasso.com/img/photos/croppedimage-82fd3a95af9445e9979767cf5e6ed2c2.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,"  AS Université Poitiers - SUAPS  - Université de Poitiers - Bâtiment C7, 8 allée Jean Monnet TSA 31113  Cedex 9   ",46.562702,0.385434,Association1901,Sport,Sudouest,3,Event,1686175200,1774987075,110,,asuniversitepoitiers@gmail.com,0667386723
649966,VIVRE ET ENTREPRENDRE,"Vous êtes du Haut-Poitou. L'association rassemble entrepreneur(e)s, porteur(e)s de projets et partenaires locaux depuis 1989. Elle favorise les rencontres, l'accompagnement, la visibilité des entreprises et le développement économique du territoire, créant événements et actions collectives.",/associations/vivre-et-entreprendre,https://cdn.helloasso.com/img/logos/croppedimage-b6c4a1bd0de84a2bbd45bc96fdbbf22c.png,https://cdn.helloasso.com/img/photos/croppedimage-d03f9d88a9d24dacbf1a651b4925f0f3.png,Neuville-de-Poitou,86170,Vienne,Nouvelle-Aquitaine,Mairie,46.685571,0.245113,Association1901,Économie | Étudiants | Réseaux pros et étudiants,,8,"Event, Membership",1771369200,1774958300,110,,contact@vivre-entreprendre.fr,
495849,Comité régional des étudiants en médecine de Poitiers,"Depuis plus de 40 ans, nous regroupons les étudiants en médecine de Poitiers. Le CREM est une association à but non lucratif, régie par la loi de 1901. C’est non seulement l’une des plus vieilles de Poitiers mais aussi celle qui compte le plus d’adhérents : nous sommes plus de 2000 !",/associations/comite-regional-des-etudiants-en-medecine-de-poitiers,https://cdn.helloasso.com/img/logos/croppedimage-baf0fbfdf24f4b30b031767a3da92b8d.png,https://cdn.helloasso.com/img/photos/croppedimage-e355e1191a7042abb319f75e07aa14a0.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,6 Rue de la Milètrie,46.561582,0.379349,Association1901,Étudiants | Solidarité et Action Sociale,,1,Shop,1712527200,1774978013,110,Funbreak,crem@crem.fr,
564912,IMRG POITIERS 86,"Notre club est ouvert à tous les possesseurs de motos indianes affiliés à la concession Indian Motorcycle Poitiers 86. Nous organisons des sorties chaque mois, nous relayons les évènements organisés ou sponsorisés par notre marque préférée et les autres IMRG, et nous nous retrouvons régulièrement.",/associations/imrg-poitiers-86,https://cdn.helloasso.com/img/logos/croppedimage-153926bcfc894f649ff088d124d51ca2.jpg,https://cdn.helloasso.com/img/photos/croppedimage-849cc858b93c486ea1009b988da53bf0.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,109bis Rue de la Bugellerie,46.602016,0.326486,Association1901,Moto | Sport,,11,"Shop, Donation, Membership",1737586800,1774966065,110,,imrg.poitiers.bpm86@gmail.com,0669416646
654676,RENCONTRES OMNISPORTS CIVRAISIENNES,Le ROC de Civray devient une association loi 1901. Cette association a pour objet de favoriser l’accès au sport pour le plus grand  nombre en sensibilisant les participants à la cause environnementale et humaniste. ,/associations/rencontres-omnisports-civraisiennes,https://cdn.helloasso.com/img/logos/croppedimage-511a7127b6ca469e8d18681e0e6727c7.png,https://cdn.helloasso.com/img/photos/croppedimage-fb4a5e16a9bd4aa297f37858b99019a4.png,Civray,86400,Vienne,Nouvelle-Aquitaine,19 Rue Gino Severini,46.139324,0.289447,Association1901,,,2,"Event, Membership",1773097200,1774969574,110,,rocivray@gmail.com,0699022582
275003,UNION CYCLISTE CANTONALE DE VIVONNE,"Développer la pratique du cyclise et la mobilité à vélo pour tous, à tous les âges : - école de cyclisme - balades loisir santé - atelier réparation et recyclage vélos - savoir rouler à vélo scolaire - plan féminisation - cyclisme thérapeutique (sur prescription médicale) - entraînement performance",/associations/union-cycliste-cantonale-de-vivonne,https://cdn.helloasso.com/img/logos/croppedimage-a06eb34569e347f0af647ef81f5d1b69.png,https://cdn.helloasso.com/img/photos/croppedimage-e480da83db57465ba88eb37e48a37ae3.jpg,Vivonne,86370,Vienne,Nouvelle-Aquitaine,Parc de Vounant (club et atelier) ou Mairie 4 Avenue de Bordeaux (siège),46.42406963506463,0.2579426765441895,Association1901Rig,Sport | Cyclisme | Vélo,Sudouest | Don,1,Donation,1626991200,1774951666,110,BasicCompta,contact@uccv.fr,0686998001
605343,LES PREMIERS CLAPS,"L’ Association Les Premiers Claps à pour but de promouvoir, développer, former et aider à la production dans les domaines du cinéma, de l’audiovisuel et de la musique sur le département de la Vienne. ",/associations/les-premiers-claps,https://cdn.helloasso.com/img/logos/croppedimage-95ee2312daa246cb8ea3c5d48ccf98d9.jpg,https://cdn.helloasso.com/img/photos/croppedimage-1597bcfa4cdb49b7a14cfe7167f91f39.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,3 allée Eugene Freyssinet,46.575795,0.367216,Association1901,Arts | Cinéma | Culture | Musique | Arts et Culture,,11,"Event, Membership",1754258400,1774519065,110,,lespremiersclaps@gmail.com,
302983,"Amen, oui je croix! ",Libre dans l'Esprit Saint pour recevoir l'inspiration divine. Les dons et la créativité s'expriment par celui qui donne la croissance Dieu.,/associations/amen-oui-je-croix,https://cdn.helloasso.com/img/logos/croppedimage-16ce74ce53d244449937068ca0465419.png,https://cdn.helloasso.com/img/photos/croppedimage-8bdd1ff77f674cbd93a5740bff048767.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,Poitiers,46.586578,0.35668,Association1901,Religion | Spiritualité,,1,Event,1643410800,1774961526,110,,,
498519,CLUB ATHLETIQUE DE NEUVILLE,"Bienvenue sur le site internet du CA Neuville Haut-Poitou. Il vous donnera accès aux différents événements du club, la boutique en ligne et à l’inscription des licences pour les enfants.",/associations/club-athletique-de-neuville,https://cdn.helloasso.com/img/logos/croppedimage-369a20346eea44188d26f4072c78dca2.png,https://cdn.helloasso.com/img/photos/croppedimage-b10a854713af48ae886c469ab1deb597.png,Neuville-de-Poitou,86170,Vienne,Nouvelle-Aquitaine,1 Place Joffre,46.685511,0.245074,Association1901Rig,Enfance | Internet | Sport,,4,"Shop, Membership",1713304800,1774935167,110,OHME | BasicCompta,ecoledefootcan@gmail.com,0646713062
532896,STUDIO SENSATION,"Une équipe de professeurs diplômés, Alexia et Sandra, reconnus dans chaque discipline dispense les cours dans une ambiance détendue et familiale. Plusieurs styles : heels, street jazz, urban modern, dancehall...  Nous proposerons différents stages tout au long de l'année avec des professionnels ",/associations/studio-sensation,https://cdn.helloasso.com/img/logos/croppedimage-f7ddd3eb5892403b8dc6295fcd957bb8.png,https://cdn.helloasso.com/img/photos/croppedimage-8672309b61cd4b5a84bbbf21c0c5430f.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,77 Rue de Salvert,46.60037,0.332578,Association1901,Jazz | Professionnels | Sport,,3,"Shop, Event",1726351200,1774964187,110,,studioasensation@gmail.com,0604452107
624996,Castors et Hirondelles,« Castors et Hirondelles » est une Association qui vise à promouvoir le mieux vivre ensemble par l’amélioration de l’estime de soi et le développement du positivisme.   L’association valorise les initiatives individuelles et toutes les formes d’expressions artistiques et/ou culturelles.,/associations/castors-et-hirondelles,https://cdn.helloasso.com/img/logos/croppedimage-3f36e4939dca474c898e6f1d61959d65.png,https://cdn.helloasso.com/img/photos/croppedimage-e0b75b0e60f04160a7801a6dc4da10af.png,Chasseneuil-du-Poitou,86360,Vienne,Nouvelle-Aquitaine,38 Rue de la Grenadière,46.63923,0.352009,Association1901,Arts | Culture | Arts et Culture,,6,"CrowdFunding, Event, Membership",1761692400,1773871024,110,,castorshirondelles@gmail.com,
131570,MJC Jean-Paul Robin,"Engagée dans l’animation locale depuis 1966, la Maison des Jeunes et de la Culture Jean-Paul Robin de Naintré propose un éventail d’activités (sports, culture, loisirs…) pour tous les âges, mais aussi des événements ponctuels tout au long de l’année.",/associations/mjc-jean-paul-robin,https://cdn.helloasso.com/img/logos/croppedimage-1502296a704e4f62ba7c3093a2def32a.jpg,https://cdn.helloasso.com/img/photos/croppedimage-1416fb6a02f840faa3bf737ef5658be2.jpg,Naintré,86530,Vienne,Nouvelle-Aquitaine,21 Rue Henri Barbusse,46.762846,0.479772,Association1901Rig,Arts | Culture | Arts et Culture,,6,"Event, Donation",1552950000,1774978117,110,,coordinateur-mjc-jpr@orange.fr,0782306013
154817,Association des Sourds de Poitiers,Association des Sourds de Poitiers,/associations/association-des-sourds-de-poitiers,https://cdn.helloasso.com/img/logos/association des sourds de poitiers-a43ab07161cc4f47894fdba5e5b52aaf.png,https://cdn.helloasso.com/img/photos/croppedimage-0263ec71e1ec4a16a384f4a4c8b69887.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,ASP (Office Municipal des Sports et Centre Médico Sportif) 22 Place Charles de Gaulle,46.583038,0.344096,Association1901,Arts | Culture | Arts et Culture,,2,"Event, Membership",1561068000,1774773794,110,,tresorier.aspoitiers@gmail.com,
221618,La Belle Ânée,Randos et activités avec des ânes et des lamas,/associations/la-belle-anee,https://cdn.helloasso.com/img/logos/la belle anee-d8cc8c410e344dd5a87bb5e679c61985.png,https://cdn.helloasso.com/img/photos/croppedimage-738a6fe9d3134959a7cdbb414c81ec83.png,Jazeneuil,86600,Vienne,Nouvelle-Aquitaine,2 Puy Godet,46.45854697110762,0.08663739370928737,Association1901,Animaux,Sudouest,47,"Shop, Event, PaymentForm",1600898400,1774770425,110,,labellanee@gmail.com,0683560676
174263,Poitin na nGael,Pour tous ceux qui pratiquent ou veulent pratiquer la musique traditionnelle irlandaise à Poitiers et alentours.,/associations/poitin-na-ngael,https://cdn.helloasso.com/img/logos/croppedimage-8c79ce734f2247309914f5e178832497.png,https://cdn.helloasso.com/img/photos/16707620 1311243712265612 3234406540641431550 o-d2f310fdd94f4ad19bb7022858272a44.jpg,Poitiers,86000,Vienne,Nouvelle-Aquitaine,113 Rue de la Tranchée,46.575919,0.332801,Association1901,Arts | Culture | Musique | Loisirs,,2,"Event, Membership",1572908400,1760272453,110,,,
133135,Danse Créative,Cours de danse contemporaine et hip hop à SAINT BENOIT (86)/Grand Poitiers  Le plaisir de danser nous réunit !,/associations/danse-creative,https://cdn.helloasso.com/img/logos/danse creative-037179b8d23641aaaa2a722d14ddcb74.png,https://cdn.helloasso.com/img/photos/croppedimage-8e28e7ee4369483e936b1fc574da36d0.jpg,Saint-Benoît,86280,Vienne,Nouvelle-Aquitaine,Route de Poitiers,46.556713,0.34242,Association1901Rig,Arts et Culture | Arts | Culture | Danse | Hip-hop,,3,"Event, Membership",1553900400,1770482107,110,,associationdansecreative@orange.fr,0686456900
527729,Poitou Presse,"Cette association a pour objet : • la création et la diffusion de médias (émissions de radio, site internet, vidéos, journaux) et de supports physiques ou numériques (imprimés, brochures….).",/associations/poitou-presse,https://cdn.helloasso.com/img/logos/croppedimage-c29b18d7135c41209281a2ed0a08730a.png,https://cdn.helloasso.com/img/photos/croppedimage-06c28e1cfb75436aa2e347e8dbc92b6d.png,Poitiers,86000,Vienne,Nouvelle-Aquitaine,82 Côte de Montbernage,46.583982,0.361468,Association1901,Arts | Culture | Internet | Radio | Arts et Culture,,4,"Shop, PaymentForm, Donation",1724968800,1774307373,110,,admin@poitou-presse.fr,0607770509
599041,LA HUITIEME COMPAGNIE AIRSOFT (8EME CIE),"Association pratiquant l’airsoft dans la vienne 86. Avec 2 terrains 1 forêt sur Chauvigny et 1 en bâtiment sur Mirebeau. Forte de son expérience, l'association créée en 2009 a depuis organisé de nombreux événements privés, publics, mais aussi caritatifs pour diverses asso.",/associations/la-huitieme-compagnie-airsoft-8eme-cie,https://cdn.helloasso.com/img/logos/croppedimage-92cd6020a82f48f198646a0f6e0376ed.png,https://cdn.helloasso.com/img/photos/croppedimage-0911b6810da448b3aa2e5ab145ee12ff.png,Chauvigny,86300,Vienne,Nouvelle-Aquitaine,2 rue des Chaumes,46.570874,0.636649,Association1901Rig,Airsoft | Caritatif | Forêt | Sport,Sudouest,2,"Event, Donation",1750888800,1774714481,110,,huitieme.compagnie86@gmail.com,
