objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
481953,BaM School,"Une école de danse, dont la professeur est super créative et très énergique, qui a beaucoup de projets et d’ambition pour ses élèves! Une safeplace, un moyen pour toi de dépasser tes limites, dans le respect, l’entraide et surtout le plaisir!",/associations/bam-school,https://cdn.helloasso.com/img/logos/croppedimage-36068cc20ee34971b2c5d00306db2783.png,https://cdn.helloasso.com/img/photos/croppedimage-58e826e3837841a0a38161ed19e5fbe0.png,Élancourt,78990,Yvelines,Île-de-France,4 Rue de Bures,48.771405,1.976167,Association1901,Arts | Culture | Danse | Arts et Culture | Education,,16,"Donation, Shop, Event, PaymentForm, Membership",1709506800,1774949133,110,OHME,carocaty78@gmail.com,+33660323544
28326,Laurette Fugain,"L'association Laurette Fugain lutte depuis 2002 contre les leucémies, un cancer du sang, avec trois missions principales : Mobiliser autour des dons de vie (sang, plasma, plaquettes et moelle osseuse) Soutenir la recherche médicale Accompagner les patients et leurs familles",/associations/laurette-fugain,https://cdn.helloasso.com/img/logos/croppedimage-f0b1167124b146b485fd42d8f5a3d75b.png,https://cdn.helloasso.com/img/photos/croppedimage-ccb7401a5fa94498bea301dcb61277d1.png,Lévis-Saint-Nom,78320,Yvelines,Île-de-France,1 Route Departementale 58,48.720107,1.957638,Association1901Rig,Santé | Cancer | Caritatif | Humanitaire | Recherche,Urgence-solidaire | Don,7,"CrowdFunding, Donation, Membership",1404079200,1774953541,110,,,
287611,Les Champs D'amour,"LovEcstatic Dance Paris est une communauté vibrante où la danse devient un voyage de conscience, de liberté et de lien humain. Chaque événement est un espace sacré, empreint de bienveillance, où le mouvement libère l’âme et où ensemble, nous célébrons l’instant présent avec joie et authenticité.",/associations/les-champs-d-amour,https://cdn.helloasso.com/img/logos/croppedimage-54a2ace7f0ac4e76ab391df17dfc9812.png,https://cdn.helloasso.com/img/photos/croppedimage-20595632bed14292b380c5f64fe778c0.png,Maisons-Laffitte,78600,Yvelines,Île-de-France,41 Avenue Madame de Sévigné,48.963159,2.166967,Association1901,Arts | Culture | Danse | Voyages | Solidarité et Action Sociale,,18,"Event, Donation, Membership",1634508000,1774953321,110,,leschampsdamour@gmail.com,0638243429
225768,Faculté Libre de Théologie Évangélique,Former des responsables pour l'Église et la Mission,/associations/faculte-libre-de-theologie-evangelique,https://cdn.helloasso.com/img/logos/faculte libre de theologie evangelique-2292be66f4d84d48aedc4a7f74c645f0.jpg,https://cdn.helloasso.com/img/photos/croppedimage-8a4a15e85f4647c7a5ebb2b38527079c.jpg,Vaux-sur-Seine,78740,Yvelines,Île-de-France,85 Avenue de Cherbourg,49.008907,1.936549,Association1905,Education | Formation,,16,"Event, Donation",1603144800,1774951897,110,Zapier,daf@flte.fr,+33130992913
200911,Ecole Art Danse Chorégraphie,"Existant depuis bientôt 50 ans au cœur de Saint-Rémy-lès-Chevreuse, l’école ADC propose des cours de danse classique, modern-jazz, contemporain ainsi que de la barre au sol, de la fit gipsy dance et la Progressing Ballet Technique. ",/associations/ecole-art-danse-choregraphie,https://cdn.helloasso.com/img/logos/croppedimage-a582198bb5da4c0190c3da6c60e8bd99.png,https://cdn.helloasso.com/img/photos/croppedimage-2f4f6b79db10462ab75a768cd75e6d48.png,Saint-Rémy-lès-Chevreuse,78470,Yvelines,Île-de-France,Saint-Rémy-lès-Chevreuse,48.716426,2.080603,Association1901,Arts | Barre au sol | Culture | Danse | Jazz | Arts et Culture,,3,"Shop, Event",1587247200,1774954525,110,,adc@danse78.fr,0683756613
269809,COMITE DÉPARTEMENTAL FFESSM DES YVELINES,Plongée subaquatique et activités associées,/associations/comite-departemental-ffessm-des-yvelines,https://cdn.helloasso.com/img/logos/croppedimage-6c7b07dfc370410ead2d17ba95c5e055.png,https://cdn.helloasso.com/img/photos/croppedimage-b055de2b6cad4165a51c2afe604cfd13.png,Plaisir,78370,Yvelines,Île-de-France,23 RUE DES POIRIERS,48.798414,1.954491,Association1901Rig,Sport | Plongée,,24,Event,1623708000,1774876979,110,,alain.lamerat@bbox.fr,0660641538
317876,On Préfère Jouer,"L'association On Préfère Jouer  - permet à des élèves de tous milieux sociaux de bénéficier d'une qualité professionnelle d'enseignement du théâtre  - aide à la création et à la promotion de spectacles vivants, ainsi qu'à la mise en place de toute activité de loisir",/associations/on-prefere-jouer,https://cdn.helloasso.com/img/logos/croppedimage-49a3bc8486f742658ed59c35b0a8e959.png,https://cdn.helloasso.com/img/photos/croppedimage-8fc2a92ec2bd486992ecd83df5e8db67.png,Rambouillet,78120,Yvelines,Île-de-France,23 Rue de Clairefontaine,48.651479,1.841206,Association1901Rig,Arts | Culture | Enseignement | Théâtre | Arts et Culture,Don,3,"Shop, Donation",1650405600,1774804526,110,Zapier | ComptaCom,contact@onpreferejouer.fr,0695987970
472816,LA LUDOSPHÈRE DE POISSY,La Ludosphère de Poissy (LUDOP) est une association ayant pour but de faire découvrir et de partager sa passion pour le monde du jeu sous toutes ses formes.  Nous organisons et animons sur Poissy plusieurs fois par mois des soirées de jeux pour tout public et tout âge.,/associations/la-ludosphere-de-poissy,https://cdn.helloasso.com/img/logos/croppedimage-a2019f3753ac49269c169cfd99dc7bbb.png,https://cdn.helloasso.com/img/photos/croppedimage-0ecbb7d694e8424fb1b47276d2aa053b.png,Poissy,78300,Yvelines,Île-de-France,46bis Boulevard Robespierre,48.933236,2.048681,Association1901,Jeux | Loisirs,,3,"Event, Donation",1707174000,1774938478,110,,laludop78@gmail.com,0660582278
201582,HCA Hockey Club des Armées,Le Club,/associations/hca-hockey-club-des-armees,https://cdn.helloasso.com/img/logos/croppedimage-93995a31359b496e9cd58cf54f121a97.png,https://cdn.helloasso.com/img/photos/team-33045a5555d8411ea8a4a79ab0f90ccc.jpg,Beynes,78650,Yvelines,Île-de-France,Avenue du Mal Leclerc,48.847954,1.899498,Association1901Rig,Sport,Don,6,"Event, PaymentForm, Donation, Membership",1587679200,1774908951,110,,contact@lesfreresdarmeshockey.fr,0646010176
546830,L'ancrage Association,Un collectif de professionnels à votre service pour une santé mentale équilibrée et harmonieuse ,/associations/l-ancrage-association,https://cdn.helloasso.com/img/logos/croppedimage-0ca1818825ca432ba6b0a819b490e1d9.png,https://cdn.helloasso.com/img/photos/croppedimage-47619164326c49308685da69f1126711.png,Rambouillet,78120,Yvelines,Île-de-France,SMARTCITY CAMPUS 1 Rue de Clairefontaine,48.650794,1.834817,Association1901Rig,Humanitaire | Professionnels | Santé mentale | Solidarité | Santé,,23,"Event, Donation, Membership",1730674800,1774874528,110,,laetitia.ettori@lancrage.info,
512504,Les Choeurs de la Pléiade,"Nous sommes une chorale de 80 adultes basée dans l'agglomération de Saint-Quentin-en-Yvelines, et qui se spécialise majoritairement dans les grandes œuvres du répertoire classique. Nous sommes reconnus association d'intérêt général depuis le 3 juin 2020. Pour plus d'informations www.pleiade.asso.fr ",/associations/les-choeurs-de-la-pleiade,https://cdn.helloasso.com/img/logos/croppedimage-deb4e27dfdd04a1899eea13834cfe7f4.png,https://cdn.helloasso.com/img/photos/croppedimage-6b1a0232f69f465d8778eb72fb263d2e.png,Élancourt,78990,Yvelines,Île-de-France,2 Rue Camille Claudel,48.769638,1.962965,Association1901Rig,Arts | Chorale | Culture | Arts et Culture,,2,"Event, Donation",1717970400,1774798260,110,,contact@pleiade.asso.fr,06 80 35 44 55
